url	live	wayback	wayback_url	wayback_timestamp
http://www.naic.edu/~operator/oplogs/alfatemps	DEAD	NO		
http://www.naic.edu/~bcatinel/alfalfa_jun05.htm	DEAD	NO		
http://www.naic.edu/~phil/software/datataking/aoscramnet.html	DEAD	NO		
http://www.naic.edu/~operator/oplogs/alfatemps/ReceiverStatus.jpg	DEAD	NO		
http://jalbum.net	LIVE	N/A		
http://www.gmu.edu	LIVE	N/A		
http://www.csu.edu	LIVE	N/A		
http://www.wvu.edu	LIVE	N/A		
http://www.css.edu	LIVE	N/A		
http://www.ivoa.net	LIVE	N/A		
http://www.wisc.edu	LIVE	N/A		
http://www.sdss.org	LIVE	N/A		
https://www.wlu.edu	LIVE	N/A		
https://www.oxy.edu	LIVE	N/A		
http://www.uwsp.edu	LIVE	N/A		
http://www.sfsu.edu	LIVE	N/A		
http://www.uprrp.edu	LIVE	N/A		
http://www.wtamu.edu	LIVE	N/A		
http://rsinc.com/idl	LIVE	N/A		
http://www.usvao.org	LIVE	N/A		
http://www.siena.edu	LIVE	N/A		
http://www.union.edu	LIVE	N/A		
http://www.usfca.edu	LIVE	N/A		
https://www2.gmu.edu	LIVE	N/A		
http://www.ithaca.edu	LIVE	N/A		
https://www.valpo.edu	LIVE	N/A		
http://www.stlawu.edu	LIVE	N/A		
https://msudenver.edu	LIVE	N/A		
http://ads.harvard.edu	LIVE	N/A		
http://gbtidl.nrao.edu	LIVE	N/A		
http://www.cornell.edu	LIVE	N/A		
http://www.nsatlas.org	LIVE	N/A		
http://www.colgate.edu	LIVE	N/A		
https://www.calpoly.edu	LIVE	N/A		
http://www.sdss.org/dr9	LIVE	N/A		
http://www.sdss.org/dr7	LIVE	N/A		
https://public.nrao.edu	LIVE	N/A		
http://www.sdss.org/dr6	LIVE	N/A		
http://www.hartwick.edu	LIVE	N/A		
http://www.skidmore.edu	LIVE	N/A		
http://www.dfanning.com	LIVE	N/A		
http://stackoverflow.com	LIVE	N/A		
http://archive.stsci.edu	LIVE	N/A		
http://www.galaxyzoo.org	LIVE	N/A		
http://www.sdss.org/dr10	LIVE	N/A		
http://www.lafayette.edu	LIVE	N/A		
http://www.stmarys-ca.edu	LIVE	N/A		
http://www.macalester.edu	LIVE	N/A		
https://www.lynchburg.edu	LIVE	N/A		
http://edd.ifa.hawaii.edu	LIVE	N/A		
http://fits.gsfc.nasa.gov	LIVE	N/A		
https://astronexus.com/hyg	LIVE	N/A		
http://cas.sdss.org/dr6/en	LIVE	N/A		
http://cas.sdss.org/dr4/en	LIVE	N/A		
https://www.providence.edu	LIVE	N/A		
http://ned.ipac.caltech.edu	LIVE	N/A		
http://www.cv.nrao.edu/nvss	LIVE	N/A		
http://earth.google.com/sky	LIVE	N/A		
http://www.wtamu.edu/~dcraig	LIVE	N/A		
https://ned.ipac.caltech.edu	LIVE	N/A		
https://youtu.be/UD6cOMpJlZU	LIVE	N/A		
http://irsa.ipac.caltech.edu	LIVE	N/A		
http://www.nrao.edu/whatisra	LIVE	N/A		
http://www.georgiasouthern.edu	LIVE	N/A		
http://www.cospar-assembly.org	LIVE	N/A		
http://www.astro.rug.nl/~whisp	LIVE	N/A		
http://www.sdss3.org/index.php	LIVE	N/A		
http://wiki.scipy.org/Cookbook	LIVE	N/A		
http://nedwww.ipac.caltech.edu	LIVE	N/A		
http://www.w3.org/TR/REC-html40	LIVE	N/A		
http://montage.ipac.caltech.edu	LIVE	N/A		
http://casjobs.sdss.org/CasJobs	LIVE	N/A		
http://www2.cnrs.fr/en/1036.htm	LIVE	N/A		
http://cas.sdss.org/dr7/en/sdss	LIVE	N/A		
https://greenbankobservatory.org	LIVE	N/A		
https://nationalethicscenter.org	LIVE	N/A		
http://www.sdss.org/sdss-surveys	LIVE	N/A		
http://cas.sdss.org/dr15/en/sdss	LIVE	N/A		
http://physics.gmu.edu/~jrosenb4	LIVE	N/A		
http://www.facebook.com/home.php	LIVE	N/A		
http://www.astronexus.com/node/34	LIVE	N/A		
http://www.atlasoftheuniverse.com	LIVE	N/A		
http://www.ipac.caltech.edu/2mass	LIVE	N/A		
https://projecteuler.net/problems	LIVE	N/A		
http://www.astro.yale.edu/virgohi	LIVE	N/A		
http://minerva.union.edu/koopmanr	LIVE	N/A		
http://www.aoc.nrao.edu/~egreisen	LIVE	N/A		
http://www.physics.unc.edu/~sheila	LIVE	N/A		
http://matplotlib.org/gallery.html	LIVE	N/A		
http://skyserver.sdss3.org/CasJobs	LIVE	N/A		
http://en.wikipedia.org/wiki/ROSAT	LIVE	N/A		
http://alfalfasurvey.wordpress.com	LIVE	N/A		
http://www.greenbankobservatory.org	LIVE	N/A		
http://sites.lafayette.edu/hoffmang	LIVE	N/A		
http://www.mpa-garching.mpg.de/SDSS	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa	LIVE	N/A		
http://www.physics.uci.edu/~barth/atv	LIVE	N/A		
http://arXiv.org/abs/astro-ph/0305259	LIVE	N/A		
http://www.nrao.edu/astrores/HIrogues	LIVE	N/A		
http://www.rsinc.com/idl/GetStart.pdf	LIVE	N/A		
http://learnpythonthehardway.org/book	LIVE	N/A		
http://egg.astro.cornell.edu/index.php	LIVE	N/A		
http://egg.astro.cornell.edu/precursor	LIVE	N/A		
http://www.pa.msu.edu/astro/MC2/accept	LIVE	N/A		
http://www.star.bris.ac.uk/~mbt/topcat	LIVE	N/A		
http://www.cornell.edu/visiting/ithaca	LIVE	N/A		
http://www.sthurlow.com/python/lesson01	LIVE	N/A		
http://www.codecademy.com/tracks/python	LIVE	N/A		
http://apod.nasa.gov/apod/ap110828.html	LIVE	N/A		
http://apod.nasa.gov/apod/ap100520.html	LIVE	N/A		
http://apod.nasa.gov/apod/ap090428.html	LIVE	N/A		
https://science.nrao.edu/facilities/gbt	LIVE	N/A		
http://apod.nasa.gov/apod/ap970617.html	LIVE	N/A		
https://www.citiprogram.org/Default.asp	LIVE	N/A		
http://apod.nasa.gov/apod/ap990216.html	LIVE	N/A		
http://www.cv.nrao.edu/~jhibbard/TSeqHST	LIVE	N/A		
http://www.sdss3.org/dr8/data_access.php	LIVE	N/A		
http://archive.stsci.edu/fits/index.html	LIVE	N/A		
http://cosmicweb.uchicago.edu/index.html	LIVE	N/A		
http://stdatu.stsci.edu/cgi-bin/dss_form	LIVE	N/A		
https://jcannon.macalester.digital/SHIELD	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa/data	LIVE	N/A		
http://www.star.bristol.ac.uk/~mbt/topcat	LIVE	N/A		
https://archive.stsci.edu/cgi-bin/dss_form	LIVE	N/A		
http://www.nsf.gov/bfa/dias/policy/rcr.jsp	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa/pract	LIVE	N/A		
http://www.seds.org/messier/more/local.html	LIVE	N/A		
http://www.atnf.csiro.au/research/multibeam	LIVE	N/A		
http://stars.astro.illinois.edu/celsph.html	LIVE	N/A		
https://www.youtube.com/watch?v=UD6cOMpJlZU	LIVE	N/A		
https://alfalfasurvey.wordpress.com/2013/11	LIVE	N/A		
http://www.gb.nrao.edu/~dpisano/example.cat	LIVE	N/A		
http://www.union.edu/News/spotlight/read.php	LIVE	N/A		
http://www.atlasoftheuniverse.com/virgo.html	LIVE	N/A		
http://www.topuertorico.org/city/camuy.shtml	LIVE	N/A		
http://www.gb.nrao.edu/20m/idlinks/39966.htm	LIVE	N/A		
http://docs.python.org/2/tutorial/index.html	LIVE	N/A		
http://www.gb.nrao.edu/20m/idlinks/39970.htm	LIVE	N/A		
http://www.gb.nrao.edu/20m/idlinks/39960.htm	LIVE	N/A		
http://www.gb.nrao.edu/20m/idlinks/39956.htm	LIVE	N/A		
http://www.gb.nrao.edu/20m/idlinks/39957.htm	LIVE	N/A		
http://www.gb.nrao.edu/scienceDocs/GBTog.pdf	LIVE	N/A		
http://www.gb.nrao.edu/scienceDocs/GBTpg.pdf	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa/pubs.php	LIVE	N/A		
http://www.mpa-garching.mpg.de/GASS/index.php	LIVE	N/A		
http://cas.sdss.org/dr15/en/sdss/sdsshome.aspx	LIVE	N/A		
http://cosmicweb.uchicago.edu/images/anim1.jpg	LIVE	N/A		
https://www.stlawu.edu/people/aileen-odonoghue	LIVE	N/A		
http://irsa.ipac.caltech.edu/applications/DUST	LIVE	N/A		
http://www.gb.nrao.edu/~dpisano/example.config	LIVE	N/A		
http://www.ast.cam.ac.uk/~mike/local_more.html	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa/ugradteam	LIVE	N/A		
http://www.sdss.org/DR2/algorithms/fluxcal.html	LIVE	N/A		
http://adsabs.harvard.edu/abstract_service.html	LIVE	N/A		
https://python4astronomers.github.io/index.html	LIVE	N/A		
http://en.wikibooks.org/wiki/Python_Programming	LIVE	N/A		
http://cas.sdss.org/dr4/en/tools/chart/navi.asp	LIVE	N/A		
http://cas.sdss.org/dr7/en/tools/search/sql.asp	LIVE	N/A		
http://cas.sdss.org/dr4/en/tools/search/sql.asp	LIVE	N/A		
http://www.cv.nrao.edu/course/astr534/ERA.shtml	LIVE	N/A		
http://cas.sdss.org/dr7/en/tools/chart/navi.asp	LIVE	N/A		
https://sites.google.com/site/alfalfaugradgroups	LIVE	N/A		
http://www.nature.com/doifinder/10.1038/360715a0	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa/science.php	LIVE	N/A		
http://hea-www.harvard.edu/RD/ds9/site/Home.html	LIVE	N/A		
http://egg.astro.cornell.edu/alfalfa/ugrad/spr09	LIVE	N/A		
http://alfalfasurvey.wordpress.com/2011/11/25/ul	LIVE	N/A		
http://www.astro.ucla.edu/~wright/CosmoCalc.html	LIVE	N/A		
http://welcome.topuertorico.org/city/camuy.shtml	LIVE	N/A		
http://www.gb.nrao.edu/pubcomputing/public.shtml	LIVE	N/A		
http://adsabs.harvard.edu/abs/2017MNRAS.466.1275B	LIVE	N/A		
