# agcnum radeg    decdeg distMpc Vcmb   logL_V logMH gas2L_V AbsMag_i logL_i  gas2L_i sepmin
  231935 201.1033 13.813 95.6    6689.0 9.2    9.37  0.1652  -18.44   9.2062  0.1638  142.57
  230305 201.1004 13.938 101.0   7068.0 10.36  9.4   -0.9595 -21.48   10.4259 -1.0259 149.08
  232369 201.1321 11.77  102.9   7206.0 9.42   9.41  -0.0114 -19.02   9.4411  -0.0311 73.31 
  8427   201.1463 6.529  103.4   7240.0 10.91  10.21 -0.7014 -22.79   10.9492 -0.7392 323.91
  230310 201.205  16.145 105.6   7395.0 9.95   10.07 0.1238  -20.26   9.9344  0.1356  270.18
  230312 201.215  13.581 100.7   7046.0 10.0   9.77  -0.2289 -20.55   10.0506 -0.2806 127.33
  715833 201.2429 6.326  105.3   7374.0 9.75   9.56  -0.1887 -19.74   9.7278  -0.1678 334.58
  231943 201.3142 13.276 96.6    6765.0 9.59   9.22  -0.3747 -19.49   9.6275  -0.4075 108.9 
  231944 201.4417 13.911 99.9    6990.0 8.97   9.3   0.3263  -17.78   8.9432  0.3568  138.64
  230324 201.4729 13.298 99.1    6940.0 9.86   9.47  -0.3912 -20.01   9.8369  -0.3669 104.98
  231945 201.5721 13.811 104.5   7313.0 9.6    9.37  -0.2301 -19.39   9.5897  -0.2197 130.2 
  232218 201.855  11.884 105.1   7356.0 10.29  9.29  -1.0019 -21.18   10.3041 -1.0141 31.35 
  8456   201.8954 15.189 105.6   7392.0 10.3   9.59  -0.7111 -21.13   10.2824 -0.6924 206.0 
  233634 202.0946 13.256 110.2   7714.0 9.1    9.32  0.2154  -17.76   8.9341  0.3859  89.59 
  232504 202.0842 12.762 110.0   7699.0 9.3    9.54  0.2437  -18.42   9.1987  0.3413  60.94 
  232596 202.1267 13.108 109.1   7637.0 9.82   9.28  -0.5358 -20.12   9.8816  -0.6016 80.53 
  232507 202.1492 12.066 104.7   7326.0 9.85   9.41  -0.4408 -20.29   9.9464  -0.5364 21.44 
  230351 202.1671 12.711 110.9   7765.0 10.45  9.63  -0.8237 -21.77   10.5382 -0.9082 56.72 
  233820 202.205  10.382 102.4   7166.0 9.85   9.64  -0.2133 -20.04   9.8468  -0.2068 85.04 
  232392 202.2179 11.756 106.3   7438.0 9.35   9.6   0.2476  -18.75   9.3309  0.2691  9.72  
  8469   202.2275 10.038 102.3   7164.0 10.29  9.79  -0.4984 -21.17   10.3015 -0.5115 105.42
  230356 202.2675 12.238 107.8   7544.0 10.34  9.72  -0.6219 -21.41   10.3975 -0.6775 27.75 
  232509 202.2917 12.769 105.9   7412.0 9.19   9.46  0.2651  -18.65   9.2914  0.1686  59.04 
  233802 202.3417 9.061  101.3   7093.0 9.13   9.42  0.2853  -18.13   9.0824  0.3376  163.68
  8475   202.3575 11.008 101.8   7123.0 10.35  10.66 0.3138  -21.49   10.4285 0.2315  46.87 
