# RA                   DEC                  Z            
  194.9535793158673    30.882570458088832   0.05443044   
  194.5087146968868    30.900541652471393   0.051747657  
  194.57756737582255   30.537970306653055   0.02522906   
  194.56131002541804   30.98853292031392    0.051800024  
  194.2207693513402    30.750552714976532   0.051216993  
  194.3126875026328    30.737949050697964   0.05316092   
  194.2411483357499    30.716050973581204   0.02421952   
  194.22795731128687   30.676451184391507   0.024086582  
  194.2736996250409    30.665081241324483   0.024536883  
  194.14587676796452   30.768987853172938   0.026065852  
  194.19745130257127   30.659498274411376   0.051583502  
  194.1148946230601    30.433312285857085   0.025309322  
  194.20714601945983   30.72898836952185    0.051875483  
  193.97266923489403   30.93498943203965    0.024635272  
  193.99524058335288   30.363674462911177   0.05120345   
  193.99570970320318   30.630786214725767   0.050828252  
  193.74105028186045   30.70812245678074    0.026304133  
  193.7807849565566    30.512715748804712   0.021397475  
  193.61520228653092   30.592798190175618   0.052510455  
  193.3956556034009    30.985051014816218   0.029630749  
  197.74235568954018   28.518918040199765   0.024458608  
  197.69425712581258   28.642170739984326   0.02608265   
  197.89860690731973   29.06299550278332    0.02425793   
  197.4407904819847    28.62114361676198    0.022616103  
  197.32667187821923   28.212645073767067   0.024489881  
  197.4869505167732    28.55815492440341    0.023039933  
  197.33962276490644   28.311585486164724   0.020094763  
  197.34760269192086   28.28144954715849    0.020850476  
  197.30141272259172   28.467637066699986   0.025469514  
  197.35977505770538   28.415828602106206   0.020648153  
  197.5345502446218    28.28990542855076    0.023355082  
  197.28046711674605   28.668442427347134   0.018734839  
  197.2732388787373    28.49086304941528    0.025776135  
  197.4672589894747    28.382508082323533   0.023669902  
  197.69818579298453   28.995239646070658   0.025009546  
  197.4478728357567    28.906948678329506   0.018647598  
  197.37762411142813   28.985977060056637   0.020647492  
  197.49957808923062   28.8151073874584     0.025546359  
  197.60196033875914   28.967602525179945   0.023712458  
  197.46545073018623   28.90037345624546    0.02579406   
  197.06217680899505   28.735411554353636   0.038918816  
  197.229472100098     29.040760372322808   0.03137925   
  197.297771210554     28.776484823459075   0.0212253    
  197.21351907062743   29.169805558810076   0.026202066  
  197.2874351031276    28.892508652314486   0.024769098  
  196.9912178901669    28.710624710376344   0.025235312  
  196.91653383448266   28.828791531320466   0.026029015  
  197.0165926299483    28.998336904898373   0.02412199   
  197.06316923762725   29.023003216788634   0.020506287  
  196.94951903106647   29.153096729094322   0.023241386  
  197.00992582647646   28.251402992904968   0.02508522   
  196.9079794768469    28.325828815914775   0.022555288  
  196.97316166201543   28.383183329386444   0.021420503  
  197.21483721338632   28.629290705453844   0.022725565  
  197.2347471344703    28.402555608272134   0.034570146  
  197.11496171797575   28.350666119320476   0.023795368  
  196.63812134537122   29.18407551749086    0.031283975  
  196.69742501637708   28.84904570924171    0.015836759  
  196.66901958592229   28.929967754158678   0.025247296  
  196.6746218876117    28.90683522565025    0.025748668  
  196.69546970388296   29.130709338823873   0.026438147  
  196.6662662194861    28.51749510902564    0.026168218  
  196.6550459833966    28.337583802758502   0.021697912  
  196.78423189938195   28.633303221580707   0.039283823  
  196.81734331180624   28.283920624597854   0.024803312  
  196.72899379605587   28.548037941329834   0.020890921  
  196.67886940127275   28.4890982951771     0.049701698  
  196.80863874314954   28.25825488854187    0.021369971  
  196.24327364188525   29.1222327784251     0.01974487   
  196.56292660677167   28.71220519058248    0.019652205  
  196.24322745783473   29.194611757616393   0.019027838  
  196.55952780639805   29.060672332707703   0.023470113  
  196.5894185274574    29.1701084424346     0.024293037  
  196.44612492659124   29.095429360082168   0.050769035  
  196.33157064836954   29.19742981599619    0.027042909  
  196.16220149181288   29.224939287620813   0.019239945  
  196.1306357429635    28.301864984122254   0.026260657  
  195.93683743047626   28.545915987702667   0.025799494  
  196.06586957306058   28.54534817706824    0.02785682   
  196.61016560933584   28.364845672483757   0.03920573   
  196.2053870577173    28.66118910678421    0.026194936  
  196.12210815737888   28.98764547987534    0.024059998  
  195.9258821982004    28.905521024607914   0.022318834  
  196.16182442523936   28.972598618191956   0.02531674   
  196.15442977291218   29.146694784855974   0.019370886  
  196.04261613544298   29.01542798540108    0.022101428  
  195.8071412089289    29.722828549539408   0.033877052  
  196.2871905607832    29.881028310017367   0.023100525  
  196.7876170466339    30.338462952152977   0.050956372  
  196.6738393325352    30.359636634467638   0.050853055  
  196.46251609228622   29.809986271147487   0.023627777  
  196.34869965957841   29.513123957815107   0.020138498  
  196.56346664251294   29.366147442282518   0.024470488  
  196.3929026413032    29.65321322290221    0.021930343  
  196.5012839725844    29.466264767439668   0.050939254  
  196.68757075820875   29.37161155625378    0.02643286   
  196.4522286139723    29.604810411874677   0.05110989   
  196.41074377156437   29.35025459890081    0.023945682  
  197.4528584045856    30.429549566584495   0.05059549   
  197.52958051563655   30.015585216826796   0.035412546  
  197.5114708343532    30.043364188663357   0.035184532  
  197.48281171883292   30.422037643668435   0.05062812   
  196.9067960457276    29.92680255938837    0.02536382   
  196.78624127379      29.83780581220804    0.054629654  
  196.8457888045755    29.401185407140236   0.017487463  
  196.86857909860393   29.91835478236082    0.054573342  
  197.59647024922864   30.092776335478007   0.038373094  
  197.08220869558883   29.88949730609082    0.035102654  
  197.10985722261137   29.754499078484905   0.023007775  
  197.28034566989652   29.83098809181378    0.02310635   
  197.31703545299092   29.36766159999182    0.02094011   
  197.70705935635723   29.748237201441984   0.052831497  
  197.82575207444526   29.794053427647828   0.024244718  
  197.69852216405502   29.709914149381355   0.021200309  
  197.75647587211665   29.636674835955134   0.023516024  
  197.75713851021823   29.578355696021667   0.024258977  
  197.85872219896925   30.61965166655939    0.020680781  
  197.82377497913942   30.488454368506048   0.028245112  
  197.85392561155746   30.598902047449176   0.02821096   
  197.7691188411225    30.482916950229924   0.020991508  
  196.52162856539587   28.787425489136112   0.023065766  
  196.52295946129806   28.59295820367896    0.026441809  
  196.3141030803393    28.626430507115906   0.021913664  
  196.27769549114186   28.641178519812136   0.018165914  
  196.14899972704393   28.627757249196133   0.02236626   
  196.38724826541755   29.0117412520312     0.017500794  
  196.52687296525156   28.701744276347256   0.018546607  
  196.43824095187762   28.86980344377447    0.026550714  
  196.5720762110036    29.063197267092125   0.023380985  
  196.23644767976248   29.092491276987953   0.019915903  
  196.26058669901377   28.738999742506902   0.027906578  
  195.790982025561     28.489581066427583   0.017981451  
  195.97683007134515   28.310609321085778   0.026751187  
  196.32317448545584   28.58278245556659    0.026211888  
  195.8664044121529    28.56416781228452    0.015892921  
  195.79060383191205   28.583518944192      0.022829643  
  196.05464780456586   28.54239860210436    0.027067527  
  195.8325049599648    28.617264771373815   0.01988279   
  196.011367441454     28.309118265792094   0.00247526   
  195.6068520632685    28.85805487571579    0.022335788  
  195.58091339362403   28.95265603927522    0.03465652   
  195.88930253091178   29.06048679109617    0.025151782  
  195.84412039262597   28.79652067636396    0.026342105  
  195.6480888500378    28.745175057393418   0.020395836  
  195.59510762609497   29.14955462138955    0.0494033    
  195.66142321494084   29.07575858818869    0.022334648  
  196.07468408337527   29.029533489469465   0.022766266  
  195.5237901286287    29.112443508543404   0.049214087  
  195.53609484156942   28.387081220061724   0.025266785  
  195.54646984838928   28.45655785808569    0.020483015  
  195.71354206579403   28.482443355182593   0.023570344  
  195.73884032070228   28.37559853056249    0.02951606   
  195.44933496729828   28.660176324582558   0.02872291   
  195.658993594896     28.501948877410587   0.019217974  
  195.5596507203881    28.3526517354734     0.02884664   
  195.6331699722639    28.439334024839482   0.01990046   
  195.3612048213419    28.435871923291298   0.0192207    
  195.44394280445877   29.075824753327765   0.023110596  
  195.51843235141902   28.89458376134914    0.027055651  
  195.4972518949058    28.709500233055962   0.020232033  
  195.43329154129503   28.999551661635074   0.021423982  
  195.35450929382225   28.67723407546042    0.029152328  
  195.4305304041086    29.17834624840564    0.023442345  
  195.51393755109956   29.15049380289843    0.026901018  
  195.39001602892512   29.130588809491908   0.024531472  
  195.08281196216595   28.43919125542324    0.023693373  
  195.0946249367705    28.574471203081497   0.021585925  
  195.1548318606865    28.6641360352021     0.023603633  
  195.21701371278124   28.36612888445047    0.025476653  
  195.31224855882527   28.521749718425124   0.028133014  
  195.19838481719583   29.067169460876723   0.024987683  
  195.31564810916058   28.87215801964754    0.023780288  
  195.10685903320686   28.867806422473407   0.022579718  
  195.13000559707592   28.95055658352188    0.02327358   
  195.1648014725221    29.019405052647958   0.024245847  
  195.19846000600822   29.20078560802086    0.031009259  
  195.25128864906964   28.792160110261563   0.026597317  
  194.9129730656331    28.89551686766379    0.020393629  
  194.91577346058114   28.926569187211044   0.02009263   
  194.7856892367877    28.72825168792887    0.023667144  
  195.05835682959997   28.828147459209397   0.024474472  
  194.68007868304625   28.910040438455702   0.02783409   
  194.62609682479393   28.8588204310886     0.026646996  
  194.7762977487667    28.811801620855352   0.003333547  
  194.83762959561219   28.441499742506608   0.021894345  
  194.84648163581966   28.488697174028957   0.023346301  
  194.8247135504567    28.62396854753487    0.034704193  
  195.0592569124174    28.458102322150662   0.026102593  
  195.00766415498833   28.434813075913677   0.02699485   
  194.73377506081877   28.463663846007908   0.019721247  
  194.89864549210347   28.551382443558253   0.025299026  
  195.01834826985458   28.603512597737918   0.022742938  
  194.8754945688945    28.700134465628228   0.023682466  
  194.92209571926801   28.507196862080377   0.027481228  
  194.43224660232755   29.003169079117075   0.023080364  
  194.2567414715065    29.062612361164295   0.0250272    
  194.27917591941284   28.958341341052186   0.027479434  
  194.52342223910523   29.017347805865448   0.02567655   
  194.44029551085154   29.129976558358024   0.02491663   
  194.5286529855408    29.034607284882696   0.024243483  
  194.44599143007883   29.149510026067105   0.023856679  
  194.43378894416415   29.020384608671858   0.02642079   
  194.36456660631646   28.439670895776963   0.025927082  
  194.53843817495937   28.70859131681945    0.025368385  
  194.3831274861758    28.476922493256094   0.022567658  
  194.35439986703653   28.49583291096443    0.02394781   
  194.7039561453357    28.54000788466224    0.02096941   
  194.58062967829633   28.698472335286688   0.019304689  
  194.562778757498     28.521777558380595   0.023038724  
  194.11965898240345   29.13708960258096    0.03163352   
  194.08444542318873   29.300120806971538   0.022132916  
  194.09079017946152   28.486904118364546   0.022009345  
  194.2357487221153    28.62337073250362    0.021856735  
  194.32385676268055   28.438845272053264   0.023042226  
  194.157455384818     28.703319613158115   0.03466807   
  193.46459297479763   28.979382523590886   0.026525052  
  193.73090180210912   29.012386733368878   0.021389518  
  193.85222563433643   28.571226457226956   0.025647912  
  193.84405396037383   28.467898564538586   0.023418276  
  193.93462029958803   28.754655181309207   0.027473876  
  193.62319036285908   28.77886966591907    0.04363027   
  193.51023849640185   28.72301225694755    0.043840285  
  193.86012541123506   29.532533727619747   0.021538112  
  193.79526825790938   29.578255879511598   0.02487822   
  194.0599141979075    30.200058858609378   0.024996845  
  193.98839999511264   29.92764106150026    0.049471334  
  194.14613546777835   29.747313471484325   0.024104616  
  194.07706363262153   29.807788189755414   0.023371268  
  194.04829239441014   29.39823006473349    0.024101533  
  194.10191271068942   29.80490818451597    0.025915854  
  194.59667265946342   30.14307346158288    0.025823867  
  194.2133872437281    29.378187890271615   0.02384583   
  194.8450616347065    29.887862635692315   0.024695063  
  194.86597980487338   29.820255362895704   0.04452681   
  195.04468101503033   29.466503055352455   0.022920314  
  194.6122143789245    29.612487331946753   0.019469444  
  195.02734316820172   29.462648847337903   0.021774914  
  195.06521598636485   29.483107215832003   0.008221975  
  195.29986254543604   29.66407313300258    0.023886876  
  195.35527130770004   29.313755811577      0.023397245  
  194.9411234114628    29.896310347595072   0.021763442  
  195.00540968225596   29.900067974426456   0.024390493  
  194.91842151204204   30.247003552414885   0.025421439  
  195.60151815043042   29.451572474138672   0.026012603  
  195.5041991664141    29.510279765405112   0.04797958   
  195.6158149186266    29.487582102261285   0.0235679    
  195.51749411977582   29.253450600390078   0.024315327  
  195.48263989840493   29.322790182788193   0.023731727  
  195.67782573338042   29.75022820833415    0.008346917  
  195.46356181878002   30.515106240365043   0.053818215  
  195.43284416241482   29.926829373099753   0.030712318  
  196.19973785465757   29.614904267744958   0.01988913   
  196.31856628644977   29.587642636868143   0.023689948  
  196.55670314222783   29.14150365551867    0.02323632   
  196.0778105946314    30.284232357565422   0.03299642   
  195.92388832787407   29.81835242434904    0.023415275  
  195.64970840213283   30.192452425361772   0.04418736   
  195.86563085718248   29.93154883023238    0.05494874   
  197.61615143449953   30.7400852039776     0.02811448   
  197.40858850196113   30.497516863591343   0.024526684  
  197.34062812930196   30.92283302271113    0.016831636  
  196.78731258106828   30.393240224115534   0.022879222  
  197.25829009119136   30.363601489860212   0.051554855  
  197.13659629628907   30.747935717084307   0.023498084  
  196.40101806695975   30.79050341628453    0.022209164  
  196.60473464005574   30.999779132274515   0.042896476  
  196.243315328684     30.50753282305152    0.035735387  
  196.1117377556427    30.418109197629466   0.033148818  
  195.76663921909872   30.899817139225238   0.053191092  
  195.2370465533757    30.726105028762458   0.053702854  
  195.00515774320365   30.847290046580525   0.054195672  
  195.0876759634989    30.999148132426054   0.05213508   
  197.95011007265705   30.97257208332149    0.024796963  
  192.89756840120583   26.628932685807776   0.021295     
  193.09594750198718   26.645261243518302   0.044861197  
  193.15120054675066   26.749882974589806   0.026263572  
  192.9846205123586    27.088412025981324   0.026512478  
  193.07383257845711   27.08555427273713    0.02098187   
  193.0493624684867    26.87479212713416    0.020611348  
  193.01145180342002   27.166095901520087   0.025152354  
  193.02863300032445   27.026351626629822   0.021350514  
  192.9648522487822    27.2556528334864     0.022758916  
  193.15479094949998   27.32514306132991    0.026355308  
  193.07260093282775   27.158192112435717   0.021305997  
  193.28155186306597   27.038171552797177   0.025469143  
  192.01286112439388   26.633153179784216   0.02191254   
  192.137300088479     26.115473981715137   0.021353353  
  192.1752979398259    26.417288748309765   0.023028355  
  192.22165584932802   26.659732291017182   0.04475215   
  192.6108261980098    26.708953763068255   0.018698543  
  192.9373034737602    27.018330697018172   0.021346563  
  192.5843837285798    26.749907070352982   0.023687022  
  192.61092359754664   26.735285249243      0.019413717  
  192.8886218165638    26.76981587435659    0.04564369   
  192.59425340156034   27.175352425881545   0.02335727   
  192.96267736589203   27.118359924264478   0.027478008  
  192.63733247937296   27.32053818738636    0.02669881   
  192.9082026689037    27.310638983769206   0.023518644  
