# agcnum   radeg      decdeg    vhel    sepmin    
  232329   197.8108   11.4047   11657   269.5364  
  230144   197.8271   10.0814   6482    287.0969  
  232330   197.8288   11.1319   9169    270.5114  
  713217   197.8671   9.4328    16016   301.3318  
  713218   197.8787   10.9306   16249   269.7383  
  230146   197.8821   8.7431    3993    322.3225  
  232331   197.8904   11.4617   9014    264.5747  
  713219   197.8963   8.7131    15128   322.6692  
  713220   197.8975   8.7283    14934   322.0806  
  230147   197.9025   10.1292   9365    281.9067  
  232332   197.9042   11.1564   9605    265.9005  
  232606   197.915    14.6692   7894    312.834   
  735169   197.9154   8.5583    9898    327.2039  
  713221   197.9329   8.7361    15203   320.0952  
  230148   197.935    9.11      13401   307.5785  
  230150   197.9425   14.5703   7915    308.2897  
  713222   197.9521   9.8797    9945    284.9547  
  230151   197.9529   10.6022   9484    270.1114  
  232278   197.9592   14.6203   7824    309.0874  
  713223   197.9612   8.7236    15123   319.1609  
  232333   197.9821   11.345    9279    259.8798  
  232082   197.9833   11.0969   9381    261.8623  
  230152   197.9837   12.3531   8599    260.1534  
  735175   197.9842   10.6647   9399    267.3412  
  230153   197.9908   14.5664   7992    305.7949  
  231687   197.9992   9.6531    14913   288.2846  
  713224   198.0033   8.4467    13839   327.1334  
  713225   198.0162   9.3306    11365   296.6302  
  735176   198.0175   8.6669    15169   318.4584  
  713226   198.0242   9.9558    16380   279.2124  
  713227   198.0425   10.6086   9531    264.9239  
  232084   198.0504   14.6539   7820    305.7642  
  232334   198.0621   11.5925   9689    253.9716  
  232466   198.0629   12.9075   8558    261.7809  
  232467   198.0725   12.8683   3392    260.6626  
  232335   198.0892   11.6731   9040    252.1665  
  230160   198.0908   12.1731   3338    252.7961  
  232336   198.095    11.7278   9600    251.7298  
  230162   198.1017   8.655     15111   314.8841  
  735182   198.1162   8.4653    6354    321.1909  
  713228   198.1221   9.7528    16039   279.1071  
  233861   198.1238   11.7425   9269    250.023   
  735183   198.1279   7.7297    9770    349.9969  
  230164   198.1367   11.7275   9392    249.2827  
  713229   198.1408   9.9261    16144   273.6417  
  232256   198.1458   15.0569   8064    315.4336  
  232468   198.1467   12.9619   7723    257.8864  
  713230   198.1467   9.9811    15861   271.9749  
  233862   198.1546   11.7372   9471    248.2185  
  232337   198.1571   11.8119   10062   248.0225  
  8289     198.1663   12.5994   3362    251.8597  
  232338   198.1671   11.9764   10128   247.6131  
  232469   198.1788   12.8064   8890    253.743   
  713231   198.1892   9.83      16126   273.5071  
  713232   198.1937   9.9275    16130   270.7638  
  232257   198.2183   13.5372   7704    265.2451  
  232470   198.2254   12.7247   17964   249.9797  
  713233   198.2275   10.6494   16122   253.7616  
  232471   198.2433   12.4781   3340    246.1531  
  232472   198.2512   12.6136   3331    247.1339  
  735189   198.2579   15.9586   14046   346.7301  
  713234   198.2608   9.3769    15956   282.7561  
  232473   198.2654   12.4206   7759    244.3429  
  713235   198.2658   10.8364   16105   248.7013  
  713236   198.2675   9.9461    16034   266.3395  
  713237   198.2808   9.2411    13382   286.0579  
  232474   198.2813   12.6839   9018    246.2634  
  8296     198.2921   9.69      4006    271.8791  
  713238   198.2933   9.8225    16266   268.1778  
  713239   198.2942   10.9317   17069   245.7822  
  231046   198.2962   9.6794    4012    271.9594  
  232631   198.2971   15.0792   17171   309.41    
  713240   198.3192   9.5083    7065    275.7687  
  8298     198.3321   10.1936   1156    256.9008  
  713241   198.3517   9.4383    14631   276.2494  
  231638   198.3525   8.0403    7110    327.4468  
  713242   198.3562   8.8506    15649   295.7662  
  230172   198.3583   8.9822    10208   290.9876  
  735193   198.3729   7.8908    7060    332.8454  
  713243   198.3937   9.7697    14847   264.3299  
  8306     198.3937   15.9914   6792    342.734   
  735195   198.3971   8.0939    7040    323.3098  
  232339   198.3975   11.9222   9518    233.9892  
  232340   198.4146   11.8528   9440    232.9104  
  230177   198.4175   12.6892   7308    238.5429  
  232341   198.4192   11.9711   10198   232.816   
  735197   198.43     8.6214    15274   300.8373  
  232475   198.4325   12.7714   3527    238.8203  
  713244   198.4421   15.6089   14028   324.3631  
  713245   198.4471   10.0531   472     254.0167  
  232258   198.4483   13.6789   6865    256.5192  
  232576   198.4608   13.7681   7635    258.243   
  232342   198.4854   11.7747   9348    228.7525  
  230181   198.4887   12.5925   7676    233.2485  
  713246   198.4917   8.8189    15402   290.5573  
  713247   198.4917   8.88      15486   288.3064  
  735201   198.4933   8.3336    15071   309.319   
  735202   198.5008   8.3181    15078   309.6207  
  735203   198.5229   8.5631    15351   298.8738  
  713248   198.5283   8.7561    15547   291.2057  
  735205   198.5329   8.1778    15151   314.0016  
  232476   198.5667   12.0633   10299   224.466   
  230185   198.5821   13.5072   7827    245.0827  
  713249   198.5825   8.9286    15457   282.2619  
  232477   198.5854   12.5525   7649    227.225   
  713250   198.6279   9.7556    14718   252.5562  
  713251   198.6321   9.0219    15325   276.522   
  238780   198.6333   7.0869    11839   358.7845  
  713252   198.6504   9.7861    14851   250.5018  
  713253   198.6538   8.63      15386   290.3758  
  735207   198.6538   8.4594    15051   297.1969  
  713254   198.6608   9.1472    6448    270.6646  
  232577   198.6683   13.3264   8482    236.136   
  735209   198.7088   8.4794    15461   293.9834  
  713255   198.71     9.8347    15636   246.0084  
  232259   198.7146   15.0367   7914    289.3599  
  713256   198.7183   8.7475    15314   282.8708  
  232642   198.7229   7.2389    13109   348.3173  
  713257   198.7263   9.0564    15418   270.8336  
  232643   198.7346   7.0703    13627   355.9118  
  232260   198.74     15.1083   7974    291.1652  
  230192   198.7504   10.0286   13158   238.4839  
  8322     198.7533   12.7242   7603    219.921   
  230193   198.7546   10.01     13368   238.7669  
  735210   198.7554   6.9847    15800   359.2857  
  713258   198.7604   9.3617    15654   258.4045  
  233621   198.7637   16.085    6547    332.8276  
  735211   198.7683   8.4867    15489   291.1015  
  238740   198.7683   7.1633    3974    350.249   
  713259   198.7692   9.0903    15399   267.5784  
  230195   198.7837   9.3483    15827   257.7262  
  232644   198.7862   6.9775    15185   358.5496  
  232645   198.7925   7.3261    16497   341.6437  
  232261   198.7937   15.5458   6685    307.4356  
  238741   198.7954   7.0536    13661   354.5457  
  713260   198.7992   9.9903    15536   236.9624  
  713261   198.8004   9.5153    15024   251.2978  
  233623   198.8037   16.0983   6420    331.9784  
  713262   198.8058   9.5411    13307   250.1833  
  232262   198.8096   15.2286   8574    293.2122  
  232578   198.8162   13.625    6748    235.8912  
  233864   198.8217   13.0792   7569    222.4014  
  713263   198.8237   9.6603    14924   245.4667  
  233865   198.8242   13.1022   7504    222.7408  
  232646   198.8329   7.3181    13010   340.5461  
  232579   198.8333   13.5425   6809    232.7589  
  230199   198.835    13.0908   7574    221.9104  
  230200   198.8413   12.9053   7463    217.9623  
  232343   198.8446   11.7661   6589    207.6628  
  230201   198.8479   12.895    7673    217.4054  
  713264   198.8517   9.8447    14606   238.405   
  735213   198.8525   6.9119    16328   359.4433  
  232632   198.8554   15.4228   7959    299.6257  
  735214   198.8558   8.0819    11748   304.6724  
  232478   198.8596   12.6767   7711    213.1922  
  713265   198.8662   9.8786    15136   236.655   
  713266   198.8708   9.9686    15534   233.8218  
  713267   198.8713   9.7883    15309   239.0958  
  713268   198.8742   9.85      14884   237.0923  
  232479   198.8775   12.8731   7486    215.3618  
  735215   198.8804   8.6686    15465   278.8031  
  713269   198.8846   10.2817   6496    224.8227  
  713270   198.885    9.7661    14542   239.0758  
  713271   198.8942   9.8544    14302   235.9336  
  713272   198.8954   9.8733    14784   235.3087  
  713273   198.9071   9.5456    15703   245.0284  
  713274   198.9358   8.7361    15304   273.6452  
  713275   198.9433   9.295     15784   251.9386  
  713276   198.9442   9.9169    15283   231.5131  
  713277   198.9467   8.6936    15384   274.8963  
  230203   198.9492   10.0025   15823   228.7815  
  713278   198.9525   8.8125    14950   269.8432  
  735217   198.9571   8.5361    15280   280.9577  
  231318   198.9646   8.0392    7196    302.231   
  232087   198.9646   8.3364    15297   289.1418  
  233600   198.9783   8.0272    7157    302.2257  
  713279   198.9796   10.0303   16113   226.4106  
  232687   198.9813   6.9286    5894    354.2454  
  713280   198.9821   8.8053    15148   268.8266  
  735219   198.9837   7.9961    14840   303.4165  
  232647   198.985    7.0964    14336   345.8515  
  735220   198.9858   8.6178    14979   276.3252  
  232648   198.9875   7.2842    13206   336.6259  
  231319   198.9908   7.3294    13467   334.3231  
  713281   199.0004   10.1083   16124   223.1485  
  735221   199.0033   8.5375    15701   278.9409  
  232649   199.005    7.0211    16059   348.8707  
  713282   199.0054   9.9853    15706   226.3561  
  713283   199.0058   8.5869    15241   276.7575  
  713284   199.0083   8.7936    15148   268.1438  
  232650   199.0137   7.0806    6233    345.645   
  232690   199.0137   6.9417    15958   352.5088  
  230208   199.0146   13.4031   9114    219.5787  
  238920   199.0188   7.0814    14752   345.4334  
  238743   199.02     7.7528    14725   313.1947  
  713285   199.0212   9.8231    14698   230.4103  
  742861   199.0212   16.5058   6743    343.9014  
  713286   199.0229   9.7786    14652   231.7144  
  713287   199.0287   8.4458    15473   281.7769  
  735223   199.0292   8.5031    13154   279.3144  
  735224   199.0317   7.2667    11953   335.9249  
  232651   199.0325   6.9756    14595   350.1992  
  232652   199.0346   7.4419    13380   327.3569  
  233866   199.0421   7.0436    14708   346.506   
  232653   199.0437   6.9786    10722   349.6715  
  232654   199.0479   7.0033    15082   348.3046  
  713288   199.0508   9.9925    16078   223.7983  
  238921   199.0529   7.03      13766   346.8151  
  232655   199.0667   7.1139    15044   342.2042  
  231026   199.0708   7.0464    15033   345.4012  
  713289   199.0783   8.4261    15091   280.5816  
  735226   199.0821   6.9394    14560   350.3502  
  735227   199.0833   6.9044    14407   352.0602  
  231641   199.0879   6.9939    14855   347.4405  
  230211   199.0892   13.5019   9176    218.3636  
  735228   199.0946   8.5419    14717   274.9251  
  735229   199.0962   15.8267   16566   308.6922  
  232480   199.0996   12.5222   3469    197.3811  
  232607   199.1125   14.9122   14895   267.396   
  232481   199.1142   12.9503   7686    203.6931  
  232656   199.115    7.035     15118   344.4938  
  735230   199.1217   8.4194    15039   279.1001  
  232657   199.1254   7.2678    7500    332.6308  
  238745   199.1296   8.0367    14478   295.9232  
  735231   199.1325   7.0       14779   345.6627  
  232658   199.135    7.0328    15607   343.9424  
  735232   199.1429   7.0633    15107   342.1558  
  232659   199.145    7.1208    15232   339.2251  
  232482   199.1492   12.1525   3448    190.8862  
  735233   199.15     7.7417    15321   308.9034  
  735234   199.1517   7.3092    15226   329.7008  
  232660   199.1521   7.0844    14777   340.8001  
  713290   199.1521   8.5256    15278   273.2471  
  232661   199.1537   7.015     14269   344.2136  
  232662   199.1542   7.0858    14360   340.6616  
  735235   199.1596   8.0289    14945   295.1337  
  232608   199.1608   14.4997   17996   248.657   
  713291   199.1625   8.5425    15233   272.0858  
  735236   199.1646   7.8397    15135   303.7442  
  232663   199.1708   7.1036    14159   339.2232  
  735237   199.1746   7.4397    15146   322.5287  
  735238   199.1754   8.0208    14658   294.9029  
