agcnum      ra     dec    
113777   15.7308  27.32583
112506   15.8242  26.79528
113747   15.8242  26.63778
114034   15.8950  29.33306
110007   15.9787  21.88472
113810   16.0221  24.29806
113900   16.1042  31.31028
112507   16.2354  26.82667
113811   16.2458  24.49500
113901   16.3512  32.18056
113748A  16.4037  27.51222
113812A  16.4800  24.56695
113903   16.6592  30.73528
112508   16.7533  26.51500
113813   16.7583  25.58306
113904   16.8354  31.36861
113905   17.0362  31.39972
113841   17.1321  24.66917
111414   17.2512  33.52250
114490   17.5650  22.35194
110756   17.5696  29.20056
113906   17.6346  29.96000
115609   17.8954  35.88889
114037   17.9171  29.06667
115610   17.9692  36.02945
113907   18.4842  30.15694
113908   18.6379  30.04222
113909   18.6658  30.38139
110158   18.7908  33.79028
113911   18.9075  31.65639
110988   19.1167  33.42500
112511   19.1792  26.91194
113815A  19.4075  24.14305
113752   19.5229  27.18806
113817   19.6942  24.18972
113818   20.0646  24.74944
113753   20.2587  26.08889
110268   20.7029  33.96833
113919   20.9942  32.07694
113920   21.0079  31.63445
115592   21.1229  35.34750
115593   21.1938  35.47195
113921   21.2033  31.31111
114043   21.3913  29.62083
114044   21.4133  29.32000
113922A  21.5392  31.64917
113923   21.5542  32.13639
114045   21.7325  29.72611
113755   21.9783  27.45528
113823   22.1992  24.88972
114078   22.2138  29.27194
110363   22.3046  33.66528
112515   22.4308  27.39361
113926   22.5987  31.40417
113985   22.6508  32.14972
113927   22.6821  30.38611
113928   22.6854  31.82583
112516   22.9750  27.32917
113930   22.9812  32.14584
113931   23.1383  31.45806
114046   23.1479  28.96445
113932A  23.1500  31.87306
115596   23.1542  35.78528
113933   23.2233  30.30528
112519   23.4137  26.42028
114048   23.6604  28.66639
114049   23.6800  29.72222
110424   23.7475  35.03944
110423   23.7496  36.01889
114050   23.8767  29.52472
113854A  24.4487  24.53667
115599A  24.6512  35.31333
115600   24.6721  35.71861
114052   24.9696  29.44444
113937   24.9762  31.45583
114082   25.2467  30.07667
113938   25.2692  31.88083
112521   25.2817  27.32333
110474   25.3138  34.81166
114053   25.3663  28.62278
115615   25.4100  35.77250
113292   25.6238  28.11028
113825   25.8633  24.77972
115620   25.8758  34.76778
112490   25.8833  32.88028
113943   25.8996  30.50500
113863   25.9083  26.00444
113295   25.9263  26.81750
113294   25.9413  27.06306
114054   25.9596  28.45444
115621   25.9863  35.33222
113945   26.0567  31.96944
110790   26.1204  27.92833
110502   26.1596  34.66028
113731   26.2067  25.46194
