agcnum      ra     dec    
332931  351.6971  25.98306
333539  351.7042  28.21222
332930  351.7675  26.00167
333540  351.8979  29.40805
332919  351.9254  27.22389
333393  351.9479  31.55139
332914  351.9750  26.39250
333605  351.9754  28.77695
332916  352.0008  26.16167
333541  352.0071  28.83167
333542  352.0413  29.22000
332958  352.0654  26.84639
333287  352.0754  24.33945
333288  352.1671  24.08195
332917  352.1683  27.73806
332940  352.1708  27.30389
333394  352.2108  30.01028
335580  352.2412  34.63500
333395  352.2433  31.39444
333396  352.3313  30.90250
333204  352.3342  26.29472
333332  352.3638  25.44472
333545  352.5771  29.65278
333399  352.5979  29.80222
333289  352.6271  24.61500
333400  352.6742  29.84722
332961  352.6825  26.38000
332942  352.6871  26.23639
333401  352.7396  30.30055
332237  352.7550  22.44500
333546  352.7642  29.75722
333290  352.7921  24.87444
333547  352.8217  28.28500
333402  352.8346  31.46917
333291  352.9108  24.03555
335245  352.9117  20.71028
333548  352.9375  29.52139
332944  352.9817  26.82000
333403  353.1371  32.12139
333549  353.1429  29.66778
333294  353.3204  24.37889
333404  353.3212  30.84056
333405  353.3829  30.21972
333550  353.3875  29.31278
335390  353.3987  33.48972
333295  353.4008  24.62972
332946  353.4050  27.45333
332945  353.4070  26.24056
333407  353.4642  31.33694
333406  353.4679  31.11833
333336  353.5934  25.54194
333551  353.6609  29.40611
333552  353.6692  28.97528
333296  353.6767  24.70861
333553  353.6946  29.31361
331221  353.9229  26.65055
333298  353.9842  25.30944
333409  354.0246  31.08306
332947  354.0554  26.36139
333554  354.0900  29.18917
332948  354.2821  26.43611
333410A 354.3000  31.45500
333588  354.3262  28.37306
333555  354.3992  29.02667
333300  354.4059  24.56667
332949  354.5212  27.83722
333556  354.5475  29.01111
331240  354.5696  25.81500
330661  354.6254  26.59750
333607  354.6483  28.60833
333412  354.6654  32.12361
331244  354.7400  28.75389
330714  354.7746  26.58028
333413  354.8316  31.63139
333415  354.8337  31.52472
333466  354.8392  31.70139
333301  354.8529  25.70833
332950  355.0192  25.95278
333416  355.1125  31.81361
333417  355.1621  29.90333
330761  355.1767  27.17750
333557  355.1996  29.60945
333558  355.2262  29.17555
330765  355.2750  25.17167
330766  355.2766  24.95139
330768  355.3163  25.55222
332110  355.4433  25.71917
331281  355.5038  25.99806
333560  355.6112  28.77250
332952  355.7217  28.02667
332953  355.7433  27.67389
333561  355.7625  28.74639
333562  355.7792  29.07695
333563  355.7804  28.72306
335264  355.9413  35.95917
333564  356.0167  28.54222
333419  356.0492  31.76611
333591  356.0808  28.49778
330874  356.2754  29.06389
331322  356.3262  27.47222
333303  356.3692  24.20500
333565  356.4154  28.53417
333420  356.4813  31.25805
333566  356.4938  29.16528
333567  356.5833  29.11167
333421  356.6421  32.00972
333568  356.6537  29.24306
333233  356.6642  27.15361
333569  356.7050  29.77250
331415  356.7154  27.62167
333593A 356.8229  28.80694
333422  356.8279  31.36639
333570  356.8358  29.21778
333423  356.9317  29.91083
330925  357.0071  27.62333
333305  357.0204  24.48306
333306  357.0604  24.39167
330927  357.0800  24.09083
333307  357.0808  24.59167
333425  357.0938  30.53194
333572  357.1050  29.30055
333210  357.1742  25.91111
333308  357.1946  24.31250
330935  357.2079  22.70667
333573  357.2238  28.62444
333211  357.2975  27.26805
333309  357.3013  25.46167
333426  357.3967  32.13500
332317  357.4063  27.93194
333427  357.4063  31.49833
333631  357.4333  30.12000
331553  357.8238  27.24361
333214  357.9079  27.46944
330980  357.9954  27.33750
333429  358.0179  30.44722
333574  358.0242  29.13722
333216  358.0959  27.73889
333575  358.1583  29.47306
332327  358.1591  31.24167
333576B 358.1817  28.74528
333430  358.1829  30.79000
333218  358.2025  27.50194
333217  358.2083  27.30667
331377  358.2971  26.66500
333638  358.6179  29.06083
333311  358.7242  24.88111
331009  358.9104  29.24889
333434  359.0550  30.11778
333437  359.2112  30.74972
333597  359.2391  29.61417
333441  359.5538  30.11639
333221  359.5896  27.28305
333312  359.6429  24.90556
333222  359.6537  27.52250
333223  359.6679  26.83083
333224  359.8508  26.54806
333477  359.9854  29.93167
