#  This table contains all galaxies in the DR7 spectroscopic sample
#
#  IG = 1 for MKW12=Zw1400   2 for background group in same field   otherwise 0
#   T = code for morphological type based on RC3 (20 means not assigned)
# Sep = angular separation from center of MKW12 in degrees
# rmag = rband petrosian magnitude
# rmagc = corrected rband magnitude (for galactic and internal extinction)
# Absmag = Absoluted rband magnitude
# Log L = log of r band luminosity (solar units)
# Log * = log of stellar mass (solar units)
# (u-r)c = corrected color index (u-r)
# disp = velocity dispersion of Halpha line in km/s (over 3 arcsec fiber aperture!0
# EW(Halpha) in Angstroms.
# L(Halpha) in erg/sec (I am not yet happy with this)
# SFR: star formation rate in solar masses per year calculated from EW Halpha and Fcont (I am not yet happy with this)
# Dlin = linear diameter in kpc
# LogMHI = log HI mass (solar units)
# WidC = Corrected HI width (= 2X Vrot)
# LogMdyn = log dynamical mass (solar units)
# AGCnr   RA       Dec      Vcmb   Dist   IG  T    Sep   b/a     incl     rmag  rmagc Absmag  log L  Log *  (u-r)c  disp  EW(Ha)  L(Halpha)  logSFR  Dlin  logMHI  Widc  LogMdyn
249102  210.829    7.505    7205.  102.9  0   3    1.83  0.204   87.7    16.25  15.71 -19.35   9.61   9.36   0.79   72.6   41.0   0.483E+42   0.404  11.58   9.53  186.2  12.85
  8965  210.847    9.448    4900.   70.0  0   5    0.19  0.950   18.3    13.42  13.39 -20.84  10.21  10.51   2.66   67.1    1.3   0.110E+43   0.761  18.84   9.88  111.3  12.45
249103  210.851   11.154    4243.   60.6  0   3    1.83  0.536   59.5    16.18  15.99 -17.93   9.04   8.98   0.96   72.1   70.0   0.123E+42  -0.188   3.26   8.61   52.2  10.97
  8967  210.863    9.467    5899.   83.7  1   4    0.21  0.225   84.0    14.22  13.31 -21.31  10.40  10.33   1.37   84.5    8.0   0.765E+42   0.604  21.21  10.23  373.1  13.63
241328  210.867    8.967    5639.   83.7  1   5    0.40  0.236   78.2    16.24  15.79 -18.82   9.40   9.29   1.05   64.9    4.0   0.608E+41  -0.496  10.87   9.12  148.1  12.54
  8966  210.882    6.770    7628.  109.0  0   5    2.57  0.519   59.4    14.90  14.50 -20.69  10.15  10.16   1.99   71.6    5.3   0.105E+43   0.739  22.88   9.71  302.0  13.60
249143  210.899   10.883    5671.   81.0  0   3    1.57  0.503   61.9    16.16  15.95 -18.59   9.31   9.27   0.98   70.2   33.1   0.336E+42   0.246   9.21   9.05  202.9  12.73
242104  210.909   11.573    6262.   89.5  0   6    2.25  0.167   83.3    16.30  15.75 -19.01   9.48   9.33   0.97   75.5   25.4   0.262E+42   0.139  11.48   9.45  208.4  12.89
  8973  210.911   11.388   11771.  168.2  0   3    2.07  0.522   60.5    14.47  14.02 -22.11  10.72  10.80   2.23    0.0    0.0   0.000E+00  -9.990  31.82  10.77  587.0  14.50
243862  210.965    8.706    6213.   83.7  1   5    0.68  0.950   18.3    16.17  16.16 -18.46   9.25   9.45   1.37   70.8    3.5   0.886E+41  -0.332  11.06   8.82   85.8  12.07
249105  210.998    9.273    6073.   83.7  1   3    0.30  0.294   77.3    16.91  16.53 -18.08   9.11   9.10   1.06   80.9   17.6   0.492E+41  -0.588   6.01   9.24  179.4  12.45
  8983  211.015   12.004    7498.  107.1  0   5    2.69  0.190   81.5    15.40  14.38 -20.77  10.18  10.23   1.55   73.2    2.9   0.225E+42   0.072  24.23   9.93  352.9  13.75
  8979  211.032    6.486    7695.  109.9  0   4    2.86  0.220   84.6    15.00  14.07 -21.14  10.33  10.42   1.27   82.3    4.5   0.474E+42   0.396  19.43  10.13  373.6  13.71
249106  211.042    8.008   11065.  158.1  0   3    1.36  0.627   52.7    15.47  15.18 -20.81  10.20  10.44   1.56   90.7   15.3   0.754E+42   0.597  11.30   9.77  386.1  13.66
242251  211.092    9.508    7557.   98.4  2   5    0.43  0.733   43.3    15.88  15.75 -19.22   9.56   9.49   1.20   77.8   19.3   0.566E+42   0.473  14.75   9.77  195.6  12.98
  8989  211.095   11.735    6284.   89.8  0   0    2.44  0.398   69.4    14.20  13.63 -21.13  10.33  10.75   2.13  104.8    1.0   0.136E+42  -0.145  13.78   9.50  436.8  13.61
243843  211.137   11.190    5358.   76.5  0   6    1.91  0.864   30.5    16.27  16.22 -18.20   9.15   9.26   1.93   75.7   10.4   0.212E+42   0.046  12.57   9.01  159.7  12.63
249107  211.148    8.992   11413.  163.0  0   4    0.56  0.195   90.0    17.74  17.23 -18.83   9.40   9.14   0.52   69.5   12.5   0.782E+41  -0.387  14.60   9.64  204.0  13.23
240051  211.158   11.646    4886.   69.8  0   4    2.36  0.796   38.2    14.14  14.00 -20.22   9.96   9.93   1.12   72.6   34.3   0.194E+43   1.008   9.83   9.52  278.4  12.96
243844  211.158   11.717    6169.   88.1  0   3    2.43  0.401   69.2    17.42  17.14 -17.59   8.91   8.67   0.61   71.8   54.0   0.970E+41  -0.293   6.56   9.32  141.2  12.30
242316  211.170   12.144    5434.   77.6  0   5    2.85  0.362   69.9    16.83  16.52 -17.93   9.04   8.89   0.98   95.3   11.4   0.512E+41  -0.571   8.71   9.30  156.6  12.46
240054  211.195    8.335    7109.   98.4  2   4    1.11  0.827   35.0    15.07  14.95 -20.01   9.88   9.98   1.58   75.5    7.6   0.955E+42   0.700  17.65   9.48  210.9  13.13
  8995  211.197    8.801    1495.   21.4  0   4    0.72  0.323   75.0    13.97  13.62 -18.03   9.08   9.08   1.68   66.5   16.2   0.742E+42   0.591   7.79   9.02  165.6  11.90
  9001  211.223   10.801   11682.  166.9  0   5    1.56  0.426   65.7    14.77  14.24 -21.88  10.62  10.56   1.19    0.0    0.0   0.000E+00  -9.990  37.90   9.95  170.1  13.50
243829  211.229    9.694    7625.   98.4  2   6    0.64  0.565   56.2    17.83  17.65 -17.32   8.80   8.62   1.27    0.0    0.0   0.000E+00  -9.990   7.28   9.25  134.8  12.35
  9008  211.258   11.011    5604.   80.1  0   5    1.77  0.876   29.1    14.82  14.74 -19.78   9.78  10.04   1.93   68.2   15.2   0.152E+43   0.901  19.35   9.53  265.5  13.28
  9007  211.275    9.339    4877.   69.7  0   6    0.57  0.836   33.6    15.59  15.53 -18.68   9.35   9.43   2.35   82.5    6.2   0.299E+42   0.195  14.51   9.23   66.9  11.90
243926  211.294    8.083    6179.   88.3  0   3    1.38  0.803   37.5    17.45  17.39 -17.34   8.81   8.95   1.35   74.2    2.6   0.147E+41  -1.111   8.12   8.76   83.8  11.94
240067  211.324    9.637    7179.   98.4  2   5    0.69  0.733   43.3    15.14  14.95 -20.01   9.88  10.02   2.00   81.5   11.4   0.962E+42   0.703  16.20   9.46  297.7  13.39
243826  211.335   10.411    5730.   83.7  1   3    1.25  0.738   43.5    17.08  16.98 -17.63   8.92   8.61   0.66   75.1  406.6   0.931E+42   0.689   6.11   9.80  390.6  13.13
243929  211.392    6.423    9367.  133.8  0   3    2.99  0.868   30.5    16.72  16.66 -18.97   9.46   9.49   1.75   72.2   14.1   0.205E+42   0.033  13.31   9.49  205.2  13.11
240077  211.400    8.915    7303.   98.4  2   7    0.81  0.929   21.9    15.06  15.01 -19.95   9.85   9.91   1.79    0.0    0.0   0.000E+00  -9.990  18.49   9.92  319.2  13.51
243845  211.403   11.563    7099.  101.4  0   4    2.34  0.254   80.8    16.26  15.79 -19.24   9.57   9.47   0.82   71.3  114.7   0.943E+42   0.695  11.68   9.33  170.2  12.77
242321  211.427   12.074    4881.   69.7  0   5    2.84  0.244   77.6    16.80  16.36 -17.85   9.01   8.74   0.84   73.7   35.3   0.116E+42  -0.216   7.19   9.08  137.2  12.21
240082  211.429    9.512   16662.  238.0  0   5    0.74  0.794   37.8    15.27  15.11 -21.77  10.58  10.81   2.53   94.1    4.2   0.188E+43   0.994  36.81  10.31  630.4  14.78
243933  211.481    6.438    7637.  109.1  0   6    2.99  0.608   53.1    17.70  17.55 -17.64   8.93   8.84   1.14   72.6   10.3   0.313E+41  -0.785   8.24   9.45  201.3  12.80
  9015  211.485    9.026    7257.   98.4  2   3    0.83  0.692   47.5    14.26  14.03 -20.93  10.24  10.57   2.45  161.1   -1.1   0.000E+00  -9.990  24.06   9.92  414.0  13.85
243823  211.513   10.542   10223.  146.0  0   4    1.45  0.437   66.6    16.10  15.60 -20.22   9.96   9.77   1.01   76.0   19.0   0.570E+42   0.476  17.74   9.70  308.3  13.63
240088  211.527   11.789    5032.   71.9  0   6    2.59  0.544   57.7    14.89  14.59 -19.69   9.75   9.73   1.34   71.5   24.5   0.122E+43   0.806  15.09   9.73  235.4  13.02
242252  211.540    9.572    7651.   98.4  2   3    0.86  0.548   58.6    16.03  15.80 -19.17   9.54   9.56   1.35   74.3   10.0   0.239E+42   0.099  12.10   9.24  161.6  12.73
243935  211.561    6.194    9427.  134.7  0   3    3.25  0.272   79.2    16.95  16.52 -19.13   9.52   9.62   1.37   99.3   32.7   0.193E+42   0.005  10.81   9.60  228.1  13.12
243846  211.572   11.786    6965.   99.5  0   3    2.60  0.592   55.3    17.14  16.98 -18.01   9.08   8.93   0.82    0.0    0.0   0.000E+00  -9.990  10.50   9.28  131.3  12.49
242405  211.605    9.154   11701.  167.2  0   3    0.91  0.515   61.0    15.59  15.18 -20.93  10.25  10.36   1.61   98.7   22.2   0.114E+43   0.777  20.20   9.75  249.2  13.56
242009  211.612    9.359    7472.   98.4  2  10    0.90  0.429   67.2    16.81  16.55 -18.41   9.24   9.27   2.73   23.7   -0.2   0.000E+00  -9.990  20.28   9.44   67.3  12.19
  9020  211.633    6.029    1281.   18.3  0   3    3.43  0.192   90.0    12.94  12.43 -18.88   9.43   9.76   2.79   59.6    1.0   0.175E+42  -0.038   8.79   8.59  254.0  12.26
249108  211.658    6.149    7440.  106.3  0   6    3.32  0.854   31.6    17.87  17.82 -17.31   8.80   8.90   1.00    0.0    0.0   0.000E+00  -9.990   9.30   9.12   95.4  12.19
243863  211.695   10.388    7021.  100.3  0   3    1.44  0.647   51.1    16.71  16.58 -18.43   9.24   9.14   1.21   75.0    9.6   0.640E+41  -0.474   9.30   9.24  110.5  12.30
  9023  211.713    9.321    7463.   98.4  2   5    1.00  0.449   64.2    15.26  14.80 -20.17   9.94   9.78   1.36   85.6   39.8   0.244E+43   1.107  18.43   9.93  256.7  13.32
243939  211.739    6.225    7639.  109.1  0   3    3.27  0.858   31.6    16.45  16.40 -18.79   9.39   9.38   1.21   73.9   75.0   0.331E+42   0.240   5.34   9.29  293.8  12.94
240102  211.751   10.462    9960.  142.3  0   4    1.53  0.719   45.2    14.21  13.99 -21.77  10.58  10.73   1.70   65.7    1.5   0.104E+43   0.736  23.83   9.89  425.7  14.03
  9027  211.767   10.643    7126.  101.8  0   3    1.68  0.318   75.4    15.23  14.53 -20.51  10.07   9.95   1.31   78.5   18.4   0.806E+42   0.626  20.43   9.89  260.4  13.39
243940  211.768    6.604    7855.  112.2  0   4    2.92  0.365   71.8    17.56  17.25 -18.00   9.07   8.87   0.70   80.0   56.2   0.660E+41  -0.461   4.96   9.26  141.0  12.28
243852  211.769   10.712    1438.   20.5  0   3    1.74  0.509   61.5    16.88  16.67 -14.89   7.83   7.76   0.71   72.4  330.1   0.450E+41  -0.627   2.28   7.84   62.6  10.50
249109  211.777    8.989    6140.   83.7  1   7    1.12  0.346   70.9    19.06  18.73 -15.88   8.22   8.11   1.86    0.0    0.0   0.000E+00  -9.990   7.06   8.84   95.2  11.97
249110  211.821    6.570    9429.  134.7  0   3    2.98  0.895   27.1    17.02  16.98 -18.66   9.34   9.43   1.19    0.0    0.0   0.000E+00  -9.990  18.79   9.67  448.1  13.95
249111  211.860    7.099    7359.  105.1  0   3    2.51  0.650   50.9    15.76  15.55 -19.55   9.69   9.84   2.06    0.0    0.0   0.000E+00  -9.990  16.63   9.40  322.3  13.50
243848  211.861   11.431    7705.  110.1  0   4    2.39  0.818   36.0    16.58  16.52 -18.69   9.35   9.34   1.61   67.4   12.3   0.240E+42   0.100  14.28   9.52  109.0  12.51
  9030  211.909    9.675    7348.   98.4  2   4    1.24  0.177   90.0    14.69  13.63 -21.34  10.41  10.52   1.78   75.9    3.1   0.407E+42   0.330  20.99   9.39  329.0  13.59
241392  211.980    7.041    7268.  103.8  0   3    2.62  0.924   23.0    14.87  14.82 -20.26   9.98  10.23   1.97  225.9   -1.4   0.000E+00  -9.990  14.89   9.51  340.8  13.49
243949  212.007    6.735    9397.  134.2  0   3    2.90  0.509   61.5    15.96  15.58 -20.06   9.90   9.72   0.83   76.5   25.4   0.700E+42   0.565  14.61   9.82  225.4  13.24
243952  212.038    6.727    9363.  133.8  0   4    2.92  0.172   90.0    16.49  15.70 -19.93   9.84   9.85   0.91   74.6   21.4   0.379E+42   0.298  14.34   9.81  269.0  13.38
243954  212.040    7.031    7228.  103.3  0   3    2.65  0.588   55.6    16.86  16.70 -18.37   9.22   9.28   1.22   79.0   74.5   0.156E+42  -0.087   4.87   9.03   92.1  11.87
243955  212.064    6.104   16811.  240.2  0   3    3.50  0.868   30.5    16.69  16.61 -20.30   9.99  10.01   1.15   76.7   66.5   0.104E+43   0.737  10.36  10.25  852.4  14.50
249112  212.084   11.608    5230.   74.7  0  10    2.65  0.543   59.0    17.46  17.27 -17.10   8.71   8.50   0.77   70.7   18.5   0.238E+41  -0.903   4.28   9.04  198.4  12.34
243956  212.115    6.432    7891.  112.7  0   5    3.22  0.534   58.4    16.06  15.78 -19.48   9.66   9.49   1.19   72.7   20.9   0.858E+42   0.654  15.89   9.38  165.6  12.93
  9037  212.121    7.057    6199.   88.6  0   5    2.67  0.572   55.7    13.89  13.54 -21.19  10.35  10.34   1.40   84.8   56.4   0.118E+44   1.792  20.84  10.26  355.8  13.61
  9041  212.137   11.816    5993.   85.6  0   1    2.86  0.640   51.7    13.58  13.31 -21.35  10.41  10.71   1.90  117.5   55.8   0.586E+43   1.488  16.19   9.36  369.8  13.52
249113  212.145    8.245    7418.  106.0  0   3    1.79  0.693   47.4    17.85  17.74 -17.39   8.83   8.89   1.17    0.0    0.0   0.000E+00  -9.990   6.41   9.39  220.2  12.76
240125  212.147   11.951    6070.   86.7  0   4    2.98  0.331   74.4    15.43  14.92 -19.77   9.78   9.69   1.08   72.7   11.7   0.434E+42   0.358  12.90   9.50  200.4  12.89
243857  212.206   10.796    5088.   72.7  0   3    2.08  0.432   67.0    15.65  15.39 -18.92   9.44   9.34   0.89   73.9   56.3   0.413E+42   0.336   5.99   9.12  215.1  12.54
243849  212.228   11.942    6064.   86.6  0   3    3.01  0.907   25.5    17.01  16.98 -17.70   8.95   9.04   1.25   68.6   10.5   0.410E+41  -0.667   7.49   9.32  209.4  12.69
240131  212.341    8.907    7305.  104.4  0   5    1.67  0.885   28.0    14.46  14.39 -20.71  10.15  10.55   2.31   59.3    0.4   0.167E+42  -0.057  20.86   9.72  437.1  13.86
249114  212.385    8.674    8033.  114.8  0   3    1.79  0.328   74.6    15.86  15.28 -20.02   9.88   9.86   1.02   83.7   67.2   0.853E+42   0.651   8.39   9.31  115.1  12.35
249115  212.402   10.724   11365.  162.4  0   6    2.18  0.731   43.4    17.12  17.00 -19.06   9.49   9.50   1.38   65.0    4.2   0.755E+41  -0.402  14.41   9.69  222.6  13.30
249116  212.412    9.561   11662.  166.6  0   3    1.70  0.487   63.1    16.87  16.53 -19.57   9.70   9.60   1.21   86.1   12.6   0.176E+42  -0.034  13.34   9.88  288.3  13.51
241408  212.432    8.069    7515.  107.4  0   3    2.13  0.512   61.3    13.58  13.13 -22.02  10.68  10.90   1.82  149.1   33.2   0.102E+44   1.730  19.52   9.52  420.9  13.81
243850  212.434   11.116    6609.   94.4  0   4    2.47  0.245   81.7    17.22  16.78 -18.09   9.11   9.04   0.80   94.6    5.2   0.285E+41  -0.826   9.36   9.36  233.4  12.92
243964  212.439    6.717    6068.   86.7  0   3    3.13  0.465   64.6    17.10  16.86 -17.83   9.00   8.87   1.44   74.4    7.9   0.266E+41  -0.856   7.04   9.29  160.5  12.44
  9054  212.452    9.858    7488.  107.0  0   3    1.81  0.571   56.9    14.53  14.18 -20.97  10.26  10.52   1.79  103.5   13.0   0.131E+43   0.837  16.32   9.61  346.1  13.56
240138  212.459   10.961   17963.  256.6  0   3    2.38  0.331   74.4    14.67  13.79 -23.26  11.18  11.16   1.34  132.3    3.0   0.190E+43   0.999  42.17  10.32  226.4  13.98
240140  212.517   10.165    7889.  112.7  0   1    1.98  0.718   45.3    14.54  14.34 -20.92  10.24  10.44   1.66    0.0    0.0   0.000E+00  -9.990  17.39   9.78  325.2  13.56
240142  212.541   11.934    8652.  123.6  0   3    3.17  0.350   73.0    15.06  14.42 -21.04  10.29  10.25   1.25   88.9   15.7   0.128E+43   0.828  17.86   9.92  348.3  13.67
713876  212.560   11.472    8498.  121.4  0  20    2.82  0.629   52.5    15.54  15.25 -20.17   9.94  10.02   1.31   79.8   28.5   0.646E+42   0.530  11.27   9.51   99.6  12.37
249118  212.635    8.595    7098.  101.4  0   7    2.05  0.507   60.3    19.39  19.18 -15.85   8.21   7.70   2.94    0.0    0.0   0.000E+00  -9.990   8.96   9.08   68.0  11.86
243972  212.648    6.414   17133.  244.8  0   3    3.50  0.812   36.6    16.73  16.60 -20.34  10.01  10.01   1.15   76.5   21.2   0.838E+42   0.643  19.89   9.84  172.9  13.40
240146  212.682    8.997    7313.  104.5  0   2    1.98  0.616   53.5    13.81  13.51 -21.58  10.51  10.66   2.12   93.4    2.3   0.649E+42   0.532  20.96   9.83  354.5  13.68
  9072  212.739    6.365    6146.   87.8  0   3    3.59  0.588   55.6    12.86  12.47 -22.25  10.77  11.02   1.93    0.0    0.0   0.000E+00  -9.990  21.97  10.15  564.5  14.03
249119  212.764   10.556    4972.   71.0  0   3    2.37  0.586   55.8    17.64  17.47 -16.78   8.59   8.54   1.28   71.6   12.8   0.101E+41  -1.277   4.06   8.67   49.6  11.09
240153  212.805   11.373    7499.  107.1  0   3    2.91  0.260   80.2    15.83  15.18 -19.97   9.86   9.69   0.83   70.6   35.7   0.756E+42   0.599  13.12   9.66  230.3  13.11
249120  212.818    9.227    7546.  107.8  0   6    2.09  0.684   47.3    17.34  17.23 -17.94   9.05   9.00   1.83   75.7  149.5   0.104E+43   0.738  14.82   9.26  114.3  12.56
249121  212.878    8.398   11040.  157.7  0   3    2.35  0.423   67.6    17.73  17.46 -18.53   9.28   9.05   0.96   75.1   58.8   0.205E+42   0.032   9.25   9.77  128.7  12.62
240155  212.891    8.357    7696.  109.9  0   4    2.37  0.744   43.0    14.87  14.69 -20.51  10.08  10.03   1.17    0.0    0.0   0.000E+00  -9.990  15.05   9.91  325.5  13.48
240157  212.901    8.810    7090.  101.3  0   0    2.23  0.480   63.6    14.22  13.77 -21.26  10.38  10.82   2.30   22.8    0.0   0.839E+41  -0.356  14.82   9.06  121.7  12.59
241924  212.964    8.501    7751.  110.7  0   5    2.39  0.219   79.4    17.01  16.54 -18.68   9.34   9.41   1.84   73.9   15.4   0.113E+42  -0.227  12.82   9.45  222.8  13.09
249122  212.967    9.752    7912.  113.0  0   4    2.27  0.828   34.9    15.82  15.72 -19.54   9.69   9.78   1.49   77.0   10.5   0.718E+42   0.576  18.29   9.28  127.6  12.77
240161  213.011   10.375   10034.  143.3  0   5    2.51  0.510   60.1    15.11  14.70 -21.08  10.31  10.44   2.11   76.7    2.5   0.703E+42   0.567  25.75   9.83  362.4  13.92
243982  213.013    5.858    7624.  108.9  0   6    4.16  0.787   38.4    17.20  17.13 -18.06   9.10   9.01   1.33    0.0    0.0   0.000E+00  -9.990  12.95   9.53  226.9  13.10
  9084  213.053    8.662    7487.  107.0  0   3    2.42  0.905   25.7    13.78  13.72 -21.43  10.44  10.82   2.31  265.5    1.7   0.600E+42   0.498  26.36   9.57  398.4  13.89
241198  213.087    8.508    7239.  103.4  0   1    2.50  0.491   62.8    13.93  13.50 -21.58  10.50  10.89   2.17   55.8    0.1   0.140E+42  -0.135  19.47   9.67  521.9  13.98
249123  213.095    8.426    7508.  107.3  0   2    2.53  0.671   49.2    17.48  17.36 -17.79   8.99   9.24   1.56    0.0    0.0   0.000E+00  -9.990   8.42   9.79  417.6  13.44
249124  213.138    6.451   17292.  247.0  0   3    3.76  0.909   25.2    15.54  15.47 -21.49  10.47  10.66   1.61    0.0    0.0   0.000E+00  -9.990  22.30   9.97  244.5  13.76
249125  213.152    9.739    7904.  112.9  0   6    2.45  0.473   62.6    17.37  17.14 -18.12   9.12   9.11   0.48   77.5   26.4   0.142E+42  -0.129  10.75   9.38  198.3  12.92
  9093  213.158   12.020   11616.  165.9  0   5    3.62  0.329   72.0    15.46  14.77 -21.33  10.40  10.27   1.12   76.4    5.9   0.826E+42   0.637  28.63  10.11  358.5  14.02
249126  213.189    9.552    7526.  107.5  0   3    2.47  0.565   57.4    16.74  16.56 -18.59   9.31   9.22   1.04   77.4   23.2   0.186E+42  -0.011   8.93   9.54  255.3  13.04
240174  213.244    9.921    7335.  104.8  0   0    2.58  0.757   41.8    14.27  14.09 -21.01  10.28  10.53   1.99   95.4   58.9   0.817E+43   1.632  16.91   9.74  443.9  13.78
240176  213.272    8.632    7491.  107.0  0  -2    2.63  0.350   73.0    14.96  14.32 -20.83  10.20  10.39   1.64   82.0    6.3   0.275E+42   0.159   9.90   9.42  108.8  12.34
240179  213.285    8.619    7657.  109.4  0   3    2.65  0.875   29.6    15.28  15.20 -20.00   9.87   9.92   1.46    0.0    0.0   0.000E+00  -9.990  13.80  10.06  271.2  13.28
240183  213.363    8.981    7457.  106.5  0   4    2.65  0.279   78.6    14.57  13.78 -21.35  10.41  10.23   0.92    0.0    0.0   0.000E+00  -9.990  20.37  10.21  367.3  13.71
244005  213.405    6.168   17260.  246.6  0   3    4.14  0.532   59.8    15.33  14.89 -22.07  10.70  10.75   1.23  117.4   12.1   0.233E+43   1.088  25.61  10.44  437.4  14.32
249127  213.416    8.592   10976.  156.8  0   3    2.78  0.843   33.3    15.86  15.76 -20.22   9.96   9.98   1.31   76.4   19.3   0.105E+43   0.742  14.79   9.67  213.1  13.26
241967  213.440    8.218    7643.  109.2  0   3    2.93  0.682   48.3    13.91  13.67 -21.52  10.48  10.81   2.30    0.0    0.0   0.000E+00  -9.990  18.94   9.56  320.2  13.57
243890  213.470    7.825    8226.  117.5  0   4    3.12  0.209   86.5    17.04  16.56 -18.79   9.39   9.21   0.93    0.0    0.0   0.000E+00  -9.990  10.58   9.71  247.5  13.12
240190  213.501    9.769    8814.  125.9  0   1    2.80  0.693   47.4    17.42  17.31 -18.19   9.15   9.05   1.32   71.3   42.0   0.152E+42  -0.099  10.46   9.56  251.4  13.16
  9111  213.587    7.516    7713.  110.2  0   1    3.38  0.706   46.3    13.62  13.39 -21.82  10.60  10.87   1.97  112.5   35.3   0.118E+44   1.792  28.09  10.06  507.7  14.14
241082  213.597   10.579    8758.  125.1  0   6    3.11  0.193   81.2    16.31  15.58 -19.90   9.83   9.73   0.75   73.6   47.3   0.808E+42   0.627  15.15   9.64  227.7  13.23
244013  213.600    6.103   17829.  254.7  0   5    4.32  0.837   33.5    15.84  15.73 -21.30  10.39  10.32   1.21   86.3   34.0   0.413E+43   1.336  30.18  10.25  263.1  13.96
244019  213.712   11.841    7414.  105.9  0   3    3.88  0.524   60.4    17.64  17.44 -17.68   8.94   8.85   0.89   74.7   23.0   0.583E+41  -0.514   7.67   9.41  363.5  13.27
244022  213.768    6.224    7486.  106.9  0   3    4.35  0.796   38.2    15.90  15.80 -19.35   9.61   9.64   1.21   75.1   42.4   0.693E+42   0.560  10.42   9.17  213.7  12.95
249128  213.804    8.782    9066.  129.5  0   3    3.11  0.600   54.7    15.68  15.37 -20.20   9.95   9.97   1.75   73.1   16.8   0.106E+43   0.744  17.14   9.52  178.8  13.09
249129  213.808    8.844   17685.  252.6  0   3    3.11  0.635   52.0    16.22  15.94 -21.07  10.30  10.28   1.26   89.4   28.2   0.140E+43   0.865  18.03  10.23  242.2  13.67
240211  213.816   11.288   11241.  160.6  0   3    3.64  0.990    8.3    15.64  15.63 -20.40  10.03  10.09   1.61   71.9   28.6   0.223E+43   1.068  23.30  10.03  326.4  13.84
241199  213.850    8.011    7720.  110.3  0   3    3.38  0.284   78.1    15.29  14.52 -20.70  10.15  10.05   1.41   77.0   12.6   0.869E+42   0.659  18.52   9.66  308.6  13.53
244026  213.910   11.941   16349.  233.6  0   3    4.09  0.385   70.4    15.55  14.96 -21.88  10.62  10.22   0.59   91.4   50.7   0.358E+43   1.274  17.58  10.17  221.9  13.54
713955  213.958   10.254    7589.  108.4  0  20    3.34  0.872   30.0    16.80  16.76 -18.41   9.24   9.32   1.53   60.2    1.8   0.337E+41  -0.753  10.50   9.15  218.2  12.97
249130  213.960   10.961    5148.   73.5  0   3    3.60  0.611   53.9    16.86  16.71 -17.62   8.92   8.99   1.33   70.5   26.4   0.549E+41  -0.541   5.90   8.99   92.8  11.81
243887  213.978    7.764   13305.  190.1  0   3    3.60  0.617   53.4    17.05  16.81 -19.58   9.71   9.73   1.21   74.1    6.7   0.136E+42  -0.145  17.05  10.11  295.1  13.69
249131  214.075   10.895   10081.  144.0  0   3    3.67  0.444   66.1    17.53  17.28 -18.51   9.27   9.11   1.13   60.6    6.8   0.432E+41  -0.645  14.38   9.64  114.8  12.68
240222  214.083    8.293    7599.  108.6  0   5    3.50  0.613   52.7    13.49  13.14 -22.04  10.69  11.14   2.84  125.9    1.3   0.484E+42   0.405  22.86   9.24  324.2  13.66
244036  214.092    6.310    6419.   91.7  0   3    4.52  0.891   27.6    16.90  16.86 -17.95   9.05   9.22   1.49   76.5   11.8   0.502E+41  -0.579   6.47   8.96  306.5  12.99
244038  214.137    6.589   17197.  245.7  0  20    4.37  0.589   55.6    16.06  15.74 -21.21  10.36  10.63   1.76  129.3    5.6   0.312E+42   0.214  18.23  10.20  460.7  14.22
  9134  214.147    9.985   11408.  163.0  0   5    3.46  0.679   47.7    14.74  14.50 -21.56  10.50  10.66   1.81   73.5    3.5   0.143E+43   0.874  34.66  10.36  408.4  14.21
