# AGC ra dec z zerr petroR90_r petroR50_r expAB_r petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z lnLExp_r lnLDeV_r isoA_r isoPhi_r sigma sigmaErr ew ewErr chisq nu zWarning objID sepagc
# sepagc is separation between AGC position and DR7 position in arcsec
233583 209.13781738  8.60922813 0.013500 0.3117E-03  15.69   7.46 0.741 18.601603 17.328421 17.023109 16.861830 17.085546 -.410347E+02 -.303122E+03    33.86   15.62     1.608635     0.249023     4.04254723    0.53930598   22.26287460    17  4624 588017990691782903    0.39
  8861 209.14401245 10.19120979 0.016309 0.9732E-04  19.58   9.95 0.423 17.919708 15.948339 15.607350 15.624581 16.231676 -.174268E+03 -.497771E+03 -9999.00 -999.00     1.589111     0.034180    13.58287811    0.26957101   28.37726402     6     0 587736543626199210    1.4 6
232305 209.15774536 10.79570961 0.037300 0.1110E-03  10.74   4.67 0.264 18.922459 17.631027 17.210871 16.965000 17.104544 -.318768E+02 -.427828E+03    41.44  108.51     1.526402     0.073242    10.42290878    0.43068299    5.90059423     6     0 587736477050667189    0.74
232306 209.22625732 10.54856110 0.038140 0.9843E-04   6.81   2.56 0.313 19.099474 18.039204 17.694424 17.502131 17.295542 -.101880E+02 -.203112E+03    25.24   14.09     1.638981     0.053711    12.12846947    0.34777001   13.73193073     8     0 588017702406193272    0.18
230861 209.25575256 10.86735725 0.000000 0.0000E+00  19.24   8.97 0.422 17.242819 15.549537 15.079643 14.852095 14.892117 -.583977E+03 -.450220E+04    82.85   80.35     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017702943064277    0.00
230866 209.30786133 11.99750137 0.020621 0.1816E-03  14.93   5.00 0.481 16.362713 14.801204 14.097090 13.719408 13.445731 -.259466E+05 -.521923E+04    77.18  166.92     2.676548     0.049663     7.10717678    0.13125600   22.62246895    18     0 587736478661279833    0.21
230865 209.32984924 11.97600269 0.020402 0.1433E-03  15.24   6.78 0.973 16.506517 15.275962 14.890440 14.675385 14.638543 -.313075E+03 -.104065E+05    48.14  118.96     1.521207     0.073242     3.05750394    0.14070401   32.84335709     6     0 587736478661279939    1.04
232447 209.33171082 11.56896496 0.039804 0.8229E-04  10.62   4.50 0.271 18.107571 17.232634 16.904076 16.701328 16.526775 -.143525E+03 -.100152E+04    42.07  138.60     1.667648     0.043945    18.05318069    0.39046499    5.28367186     6     0 587736478124474529    0.32
  8871 209.35363770  5.94917345 0.053557 0.1704E-03  16.45   7.17 0.592 17.050354 15.572395 14.982053 14.651495 14.478987 -.218166E+04 -.969141E+04    70.02  117.22     2.279140     0.083008     6.04094791    0.17813800    1.72677004     6     0 587736523760206056    2.30
  8874 209.37345886  6.09699535 0.014577 0.1021E-03  30.48  16.08 0.768 14.998888 13.298947 12.672054 12.459450 12.301178 -.510401E+05 -.346769E+05   114.91   57.63     2.403991     0.014648    45.11455154    0.34404099  249.29644775    33     0 588017724411084892    0.47
231575 209.44845581  7.39627504 0.023581 0.1629E-03  20.40   9.90 0.772 16.518080 14.419007 13.761477 13.468512 13.372297 -.341089E+05 -.180892E+05    78.77  177.15     2.620524     0.189374     2.02151799    0.08564300  129.70602417    33     0 588017726021697646    0.73
  8878 209.45596313  9.87337780 0.022755 0.9148E-04  22.89   9.40 0.609 15.817925 14.270071 13.606012 13.258108 13.084935 -.288801E+05 -.173276E+05    81.99  160.67     2.071634     0.014649    25.54358292    0.23273700   83.98281097    19     0 588017992302526501    2.20
231576 209.46759033  7.41350460 0.015611 0.9194E-04  12.28   4.81 0.334 17.355919 15.906782 15.164870 14.813228 14.625302 -.761777E+03 -.714708E+04    62.56   48.86     1.703825     0.014648    30.15243530    0.31199101   41.20553589     7     0 588017726021697687    0.70
231122 209.48423767  7.43358040 0.014712 0.9871E-04  20.01  10.00 0.843 17.123745 15.670398 15.103683 15.097992 15.597279 -.292041E+04 -.641002E+04    61.47  155.13     1.586051     0.024414    18.79905891    0.27876401   27.21877098     7     0 588017726021697715    1.13
  8881 209.49488831  7.16172981 0.023472 0.1201E-03  23.25   9.70 0.191 16.919670 15.296844 14.724477 14.379774 14.329500 -.161179E+04 -.668158E+04   117.24  161.21     1.643817     0.024414     9.43377018    0.15079500   36.58004379     7     0 587736525370884222    1.29
230872 209.49624634 10.71202850 0.022806 0.7851E-04  12.28   6.16 0.602 16.834949 15.713577 15.305760 15.076159 14.933517 -.170534E+04 -.691907E+04    46.15   83.14     1.608001     0.014648    23.95055580    0.32057700   14.48201466     6     0 587736477050798261    2.93
238646 209.50866699  7.90295696 0.023216 0.2345E-03  13.33   6.26 0.268 18.265223 16.844854 16.387848 16.193617 16.237095 -.485731E+02 -.937904E+03    60.38   77.96     1.491330     0.048828     9.51463699    0.28731599   32.68894577     7     0 587736526444626083    1.25
