#  AGC    V21 eV21  Wid eWid   Flux  eFlx   SNR   rms   Code
249096   6750   4   128   8    0.73  0.06    6.6  2.19   1
249097   5503   2   132   4    1.39  0.06   13.2  2.04   1
243837   5795   5    92   9    0.66  0.06    6.6  2.32   1
230970  10221  33   452  66    1.42  0.13    6.0  2.34   2
249098  16607   9   223  17    1.07  0.08    7.8  2.06   1
243841   4187   5    77  10    1.14  0.06   13.4  2.15   1
  8948   6014   3   353   6    6.11  0.09   39.6  1.83   1
243817  11230   6   355  12    1.74  0.10    9.5  2.15   1
240003   5745   3   480   6    4.19  0.11   18.5  2.10   2
  8950   5863   5   193  11    2.35  0.08   17.4  2.17   1
241325   5640   4   108   9    0.85  0.06    8.3  2.18   1
241923   5811   3    86   6    1.10  0.06   12.7  2.07   1
  8951   5868   2   247   4    2.34  0.07   19.3  1.72   1
  8956   5995   6   422  12    1.69  0.11    7.9  2.26   1
249099   7042   8    43  16    0.39  0.04    6.5  2.04   1
249100  11302   2   167   3    1.35  0.07   10.9  2.14   1
241327   6688  10   133  20    1.07  0.06    9.8  2.12   1
243860   5676   2    53   3    0.68  0.04   11.5  1.81   1
243819   6774   1    83   3    2.15  0.05   31.8  1.64   1
242169   5255   4    87   7    0.79  0.05    8.7  2.14   1
243861   5561   3   146   7    0.77  0.07    6.5  2.20   1
243842   5306   2   239   5    1.38  0.08    9.5  2.10   1
242248   7210   1    66   3    1.54  0.04   23.1  1.81   1
240019   5415  30   240  59    0.66  0.07    5.3  1.79   2
243820   7094   3   128   5    1.21  0.06   13.0  1.84   1
249101   4009   4    85   9    0.56  0.05    6.4  2.12   1
249102   6945   3   186   5    1.34  0.07   10.2  2.16   1
  8965   4640   2    35   4    6.60  0.05  108.5  2.24   1
249103   3983   7    45  15    0.47  0.04    7.1  2.20   1
241328   5379  23   145  46    0.79  0.06    7.5  1.94   1
  8967   5639   2   371   4   10.30  0.10   56.3  2.12   1
  8966   7368   1   260   3    1.83  0.09   11.5  2.21   1
249143   5411  33   179  66    0.72  0.07    5.5  2.20   2
242104   6002   4   207   7    1.49  0.08   10.6  2.18   1
  8973  11511   3   511   6    8.90  0.13   34.3  2.26   1
243862   5953   3    27   6    0.40  0.04    8.5  1.94   1
249105   5813   8   175  17    1.05  0.08    7.6  2.32   1
  8983   7238   2   349   4    3.13  0.09   19.5  1.92   1
  8979   7435   1   372   3    4.78  0.10   25.6  2.16   1
249106  10805  14   307  28    1.00  0.08    6.8  1.88   1
242251   7297   2   134   3    2.56  0.06   21.9  2.26   1
  8989   6024  33   409  66    1.67  0.11    7.7  2.36   2
243843   5098   2    81   4    0.74  0.05    9.2  1.98   1
249107  11153   5   204   9    0.69  0.06    6.3  1.71   1
243844   5909   2   132   4    1.14  0.06    9.8  2.27   1
240051   4626   1   172   3    2.91  0.07   24.0  2.06   1
242316   5174   5   147  10    1.39  0.06   12.9  1.97   1
240054   6849   6   121  12    1.33  0.06   12.0  2.25   1
  8995   1235   1   160   2    9.77  0.06   98.8  1.75   1
  9001  11422   3   155   7    1.36  0.07   11.2  2.17   1
243829   7365   8   112  15    0.77  0.06    7.3  2.22   1
  9008   5344   1   129   3    2.25  0.06   21.3  2.07   1
  9007   4617   1    37   3    1.48  0.05   23.6  2.24   1
243926   5919  20    51  41    0.31  0.04    5.3  1.80   2
243826   5470   5   269  10    3.85  0.09   24.2  2.17   1
240067   6919   3   204   5    1.26  0.09    7.6  2.59   1
243929   9107   3   104   5    0.73  0.06    7.6  2.11   1
240077   7043   1   119   2    3.65  0.05   41.6  1.79   1
243845   6839   4   168   7    0.88  0.06    7.7  1.96   1
242321   4621   6   134  13    1.05  0.07    9.4  2.14   1
240082  16402   3   386   5    1.51  0.10    7.8  2.19   2
243933   7377   3   161   7    1.01  0.07    8.5  2.10   1
  9015   6997   1   305   2    3.65  0.07   28.0  1.67   1
243823   9963  23   283  46    1.00  0.10    5.9  2.27   2
240088   4772   2   199   4    4.37  0.07   34.4  2.01   1
242252   7391  21   138  43    0.76  0.07    5.8  2.48   2
243935   9167  13   224  26    0.93  0.07    6.8  2.02   1
243846   6705   4   108   9    0.81  0.05    8.6  2.02   1
242405  11441   7   218  14    0.85  0.08    5.9  2.18   2
242009   7212   3    62   6    1.21  0.05   16.5  2.05   1
  9020   1021   1   254   3    4.93  0.09   31.3  2.21   1
249108   7180   4    50   7    0.49  0.05    6.9  2.21   1
243863   6761   2    86   5    0.74  0.05    8.8  2.02   1
  9023   7203   1   231   2    3.70  0.08   27.1  2.01   1
243939   7379   4   154   7    0.70  0.06    6.2  2.04   1
243940   7595   4   134   8    0.61  0.07    5.4  2.17   2
240102   9700   3   302   6    1.61  0.09   10.0  2.08   1
  9027   6866   3   252   6    3.15  0.08   21.5  2.06   1
243852   1178   4    55   8    0.70  0.06    9.0  2.30   1
249109   5880   3    90   7    0.42  0.04    6.3  1.56   1
249110   9169  24   204  48    1.08  0.07    8.3  2.04   1
243848   7445   2    64   3    1.17  0.05   15.4  2.11   1
249111   7099  27   250  54    0.96  0.08    6.4  2.12   1
  9030   7088  23   329  45    1.08  0.10    6.0  2.21   2
241392   7008   5   133  11    1.26  0.07   11.6  2.10   1
243949   9137   2   198   3    1.55  0.07   11.2  2.19   1
243954   6968   4    76   9    0.43  0.05    5.2  2.14   2
243952   9103  60   269 120    1.54  0.08    9.7  2.16   2
243955  16551   4   432   8    1.31  0.12    5.9  2.31   2
249112   4970   6   170  11    0.83  0.07    6.6  2.16   1
243956   7631   6   141  13    0.80  0.06    6.9  2.17   1
  9037   5939   1   294   2    9.84  0.09   65.6  1.95   1
  9041   5733   5   290  10    1.32  0.08    8.6  2.02   1
240125   5810   6   193  11    1.79  0.08   14.3  2.01   1
249113   7158   3   162   6    0.93  0.07    7.0  2.35   1
243857   4828   3   198   6    1.06  0.07    8.5  1.98   1
243849   5804   1    90   3    1.18  0.06   12.9  2.13   1
240131   7045   1   205   2    2.05  0.06   19.2  1.67   1
249114   7773   4   111   8    0.65  0.05    7.7  1.77   1
249115  11105   4   153   8    0.78  0.07    6.7  2.12   1
249116  11402   3   257   6    1.17  0.08    7.8  2.09   1
241408   7255  41   369  82    1.21  0.08    7.9  1.79   1
243850   6349   3   231   6    1.08  0.07    7.8  2.03   1
243964   5808   2   145   4    1.09  0.07    9.1  2.20   1
  9054   7228  22   290  43    1.50  0.07   11.9  1.65   1
240138  17703  35   218  70    1.34  0.08   10.0  2.02   1
240140   7629   2   231   5    1.99  0.09   12.7  2.30   1
240142   8392   4   333   7    2.31  0.09   13.9  2.03   1
713876   8238   7    79  13    0.94  0.06   10.5  2.23   1
249118   6838   5    59  10    0.49  0.05    6.0  2.33   1
243972  16873   8   103  16    0.49  0.07    4.2  2.55   2
240146   7053   2   285   4    2.65  0.07   21.7  1.62   1
  9072   5886   5   466  11    7.77  0.11   36.4  2.05   1
249119   4712   4    41   8    0.39  0.04    6.0  2.20   1
240153   7239   6   227  11    1.69  0.08   12.0  2.09   1
249120   7286   3    84   6    0.66  0.06    7.3  2.21   1
249121  10780   4   119   7    1.01  0.06    9.9  2.09   1
240155   7436   5   222  11    2.83  0.09   19.2  2.21   1
240157   6830  15   109  30    0.47  0.05    5.0  2.00   2
249122   7652   5    73   9    0.63  0.04    9.4  1.75   1
241924   7491   3   219   6    0.98  0.08    6.8  2.18   1
240161   9774   4   314   7    1.41  0.10    7.9  2.24   1
243982   7364  18   141  36    1.22  0.10    7.4  3.11   1
  9084   7227   4   173   8    1.38  0.06   13.0  1.80   1
249123   7248  10   316  19    2.27  0.10   12.4  2.29   1
241198   6979   8   464  17    1.87  0.12    8.0  2.25   1
249124  17032   6   104  12    0.65  0.06    6.6  2.14   1
249125   7644  19   176  38    0.79  0.06    6.9  1.94   1
  9093  11356   7   341  15    2.00  0.10   11.9  2.04   1
249126   7266  21   215  42    1.26  0.08    8.7  2.20   1
240174   7075   7   296  13    2.13  0.07   16.0  1.73   1
240176   7231   2   104   3    0.97  0.05   10.7  1.99   1
240179   7397   2   134   5    4.04  0.07   37.4  2.08   1
240183   7197  10   360  19    6.04  0.09   42.0  1.69   1
244005  17000   8   378  17    1.94  0.11    9.8  2.28   1
249127  10716  14   117  28    0.81  0.08    7.4  2.24   1
241967   7383   3   239   5    1.29  0.10    7.4  2.50   1
243890   7966   5   247  10    1.57  0.09    9.6  2.33   1
