# agcnum   radeg      decdeg    vhel    sepmin    
  231337   199.73     7.7953    14903   286.2641  
  713305   199.7354   10.4256   14594   175.8707  
  230234   199.7579   14.7911   6601    236.4129  
  233795   199.7813   9.3997    9632    209.8366  
  735291   199.7908   8.5892    7153    245.4041  
  232673   199.7975   7.4308    6610    302.8089  
  233625   199.8054   15.8808   8072    287.7035  
  230238   199.8346   8.7619    13645   235.7023  
  230239   199.8683   14.5775   6705    222.5416  
  231341   199.8758   7.4803    12428   297.916   
  233626   199.9242   15.7531   8496    277.5836  
  713315   199.9358   10.2417   14498   171.2735  
  233627   199.9708   13.8064   937     185.8073  
  8375     199.9846   15.8503   7007    280.8171  
  238749   200.0108   7.2225    6883    307.7373  
  232268   200.0421   15.4053   6585    256.2642  
  8379     200.0846   6.3361    11967   354.2736  
  8383     200.1158   14.5339   8546    211.2494  
  232486   200.1375   12.8231   7464    145.3726  
  232269   200.1583   14.5925   8935    212.4673  
  8385     200.1587   9.7872    1133    177.6464  
  233628   200.1996   13.6361   6784    169.0342  
  713325   200.2296   10.2631   12198   156.2561  
  230262   200.2358   14.1556   7123    189.4282  
  238750   200.2729   8.1694    12194   250.3034  
  713332   200.3562   9.0753    14137   201.8951  
  230268   200.3571   14.7286   7255    212.2976  
  230269   200.3688   12.3378   11389   122.5235  
  238751   200.3788   6.6014    6459    333.0252  
  8395     200.3838   12.1875   11462   119.5818  
  231350   200.3996   15.3217   6620    241.4034  
  232361   200.4371   12.0      11515   114.7749  
  232492   200.4433   12.7942   7616    128.57    
  230275   200.4804   14.3328   7014    188.7501  
  233796   200.4854   8.8139    9681    210.6228  
  232094   200.4983   8.1003    15161   247.6596  
  713341   200.5137   8.8672    9710    207.0189  
  715818   200.5388   6.7547    12422   321.0978  
  231927   200.5746   13.9672   7307    168.0378  
  713345   200.6292   9.7094    14673   161.9044  
  233831   200.6708   11.8681   124     100.4859  
  715819   200.6821   7.8092    15047   259.0039  
  233629   200.6858   14.08     6485    169.4555  
  232271   200.7433   14.8439   6630    206.7225  
  8408     200.7512   13.9506   7303    160.9401  
  232765   200.7854   15.185    106     224.0101  
  232592   200.8313   13.1897   14977   123.6851  
  233797   200.8471   11.5597   6759    91.1135   
