# agcnum   radeg      decdeg   distMpc   Vcmb      logL_V   logMH   gas2L_V   AbsMag_i   logL_i    gas2L_i   sepmin  
  232082   197.9833   11.097   139.0     9729.0    10.48    9.76    -0.7199   -21.53     10.4434   -0.6834   261.86  
  230153   197.9908   14.566   118.1     8268.0    10.13    9.47    -0.6559   -20.76     10.1344   -0.6644   305.79  
  230157   198.0404   11.236   109.7     7677.0    10.22    9.32    -0.8957   -21.16     10.2952   -0.9752   257.28  
  232084   198.0504   14.654   115.7     8102.0    9.84     9.6     -0.2421   -19.88     9.7823    -0.1823   305.76  
  232466   198.0629   12.908   126.6     8862.0    9.21     9.19    -0.0164   -18.38     9.185     0.005     261.78  
  232467   198.0725   12.868   50.5      3667.0    9.06     8.85    -0.2066   -18.03     9.0446    -0.1946   260.66  
  232335   198.0892   11.673   133.7     9360.0    10.19    9.86    -0.3292   -21.06     10.2555   -0.3955   252.17  
  230160   198.0908   12.173   50.3      3656.0    9.5      9.69    0.1855    -19.11     9.474     0.216     252.8   
  230162   198.1017   8.655    219.3     15348.0   10.86    10.16   -0.6956   -22.52     10.8381   -0.6781   314.88  
  233616   198.1337   12.956   125.5     8788.0    8.61     9.55    0.9356    -16.98     8.6231    0.9269    258.52  
  233617   198.125    15.321   52.0      3763.0    8.06     8.61    0.5529    -15.49     8.0264    0.5836    326.34  
  232337   198.1571   11.812   148.1     10369.0   9.63     9.5     -0.1252   -19.44     9.6065    -0.1065   248.02  
  232338   198.1671   11.976   148.7     10412.0   10.19    9.86    -0.3308   -20.74     10.1288   -0.2688   247.61  
  8289     198.1662   12.599   50.4      3662.0    10.15    10.2    0.0524    -21.08     10.2622   -0.0622   251.86  
  232469   198.1788   12.806   131.3     9190.0    9.03     9.15    0.116     -17.9      8.9901    0.1599    253.74  
  232473   198.2654   12.421   114.6     8024.0    9.37     9.37    0.0021    -18.77     9.3402    0.0298    244.34  
  233619   198.2683   12.713   131.6     9213.0    9.69     9.71    0.0216    -19.66     9.6954    0.0146    247.38  
  8296     198.2921   9.69     59.0      4293.0    10.13    9.52    -0.613    -21.12     10.2803   -0.7603   271.88  
  8298     198.3321   10.194   16.3      1460.0    8.48     8.98    0.4955    -16.55     8.4508    0.5292    256.9   
  231638   198.3525   8.04     105.9     7414.0    10.09    9.63    -0.4567   -20.46     10.0153   -0.3853   327.45  
  8306     198.3938   15.991   101.2     7083.0    10.9     10.11   -0.788    -22.65     10.8924   -0.7824   342.73  
  232339   198.3975   11.922   139.9     9793.0    10.06    9.66    -0.4036   -20.52     10.0397   -0.3797   233.99  
  232340   198.4146   11.853   138.7     9709.0    9.97     9.71    -0.2568   -20.38     9.9833    -0.2733   232.91  
  232475   198.4325   12.771   50.6      3678.0    8.74     8.53    -0.2067   -17.15     8.6912    -0.1613   238.82  
  232258   198.4483   13.679   102.1     7148.0    9.39     9.03    -0.357    -18.88     9.3823    -0.3523   256.52  
  232576   198.4608   13.768   113.4     7936.0    9.71     9.29    -0.4172   -19.84     9.7683    -0.4783   258.24  
  232342   198.4854   11.775   137.8     9646.0    9.32     9.37    0.0521    -18.64     9.2877    0.0823    228.75  
  233620   198.5008   12.235   148.2     10377.0   9.16     9.59    0.4291    -18.09     9.0663    0.5237    229.22  
  238739   198.585    7.776    89.6      6269.0    8.67     9.28    0.6052    -16.78     8.5421    0.7379    329.06  
  230185   198.5821   13.507   114.0     7979.0    10.17    9.6     -0.5722   -20.77     10.1391   -0.5391   245.08  
  238780   198.6333   7.087    172.0     12043.0   9.76     10.0    0.2383    -19.53     9.6438    0.3562    358.78  
