Master list of declinations for 2-pass ALFALFA 

First pass beams spaced by +14.6 arcmin; second pass in between to 
minimize scallopping.

 Drift#   ||  Pass1   Dec(deg)  sddmmss    ||   Pass2     Dec(deg)  sddmmss
   89     ||   89p1  21.535027  +213206    ||   89p2     21.656694  +213924
   90     ||   90p1  21.778360  +214642    ||   90p2     21.900028  +215400
   91     ||   91p1  22.021694  +220118    ||   91p2     22.143362  +220836
   92     ||   92p1  22.265028  +221554    ||   92p2     22.386696  +222312
   93     ||   93p1  22.508362  +223030    ||   93p2     22.630030  +223748
   94     ||   94p1  22.751696  +224506    ||   94p2     22.873363  +225224
   95     ||   95p1  22.995029  +225942    ||   95p2     23.116697  +230700
   96     ||   96p1  23.238363  +231418    ||   96p2     23.360031  +232136
   97     ||   97p1  23.481697  +232854    ||   97p2     23.603365  +233612
   98     ||   98p1  23.725031  +234330    ||   98p2     23.846699  +235048
   99     ||   99p1  23.968365  +235806    ||   99p2     24.090033  +240524
  100     ||  100p1  24.211699  +241242    ||  100p2     24.333366  +242000
  101     ||  101p1  24.455032  +242718    ||  101p2     24.576700  +243436
  102     ||  102p1  24.698366  +244154    ||  102p2     24.820034  +244912
  103     ||  103p1  24.941700  +245630    ||  103p2     25.063368  +250348
  104     ||  104p1  25.185034  +251106    ||  104p2     25.306702  +251824
  105     ||  105p1  25.428368  +252542    ||  105p2     25.550035  +253300
  106     ||  106p1  25.671701  +254018    ||  106p2     25.793369  +254736
  107     ||  107p1  25.915035  +255454    ||  107p2     26.036703  +260212
  108     ||  108p1  26.158369  +260930    ||  108p2     26.280037  +261648
  109     ||  109p1  26.401703  +262406    ||  109p2     26.523371  +263124
  110     ||  110p1  26.645037  +263842    ||  110p2     26.766705  +264600
  111     ||  111p1  26.888371  +265318    ||  111p2     27.010038  +270036
  112     ||  112p1  27.131704  +270754    ||  112p2     27.253372  +271512
  113     ||  113p1  27.375038  +272230    ||  113p2     27.496706  +272948
  114     ||  114p1  27.618372  +273706    ||  114p2     27.740040  +274424
  115     ||  115p1  27.861706  +275142    ||  115p2     27.983374  +275900
  116     ||  116p1  28.105040  +280618    ||  116p2     28.226707  +281336
  117     ||  117p1  28.348373  +282054    ||  117p2     28.470041  +282812
  118     ||  118p1  28.591707  +283530    ||  118p2     28.713375  +284248
  119     ||  119p1  28.835041  +285006    ||  119p2     28.956709  +285724
  120     ||  120p1  29.078375  +290442    ||  120p2     29.200043  +291200
  121     ||  121p1  29.321709  +291918    ||  121p2     29.443377  +292636
  122     ||  122p1  29.565042  +293354    ||  122p2     29.686710  +294112
  123     ||  123p1  29.808376  +294830    ||  123p2     29.930044  +295548
  124     ||  124p1  30.051710  +300306    ||  124p2     30.173378  +301024
  125     ||  125p1  30.295044  +301742    ||  125p2     30.416712  +302500
  126     ||  126p1  30.538378  +303218    ||  126p2     30.660046  +303936
  127     ||  127p1  30.781712  +304654    ||  127p2     30.903379  +305412
  128     ||  128p1  31.025045  +310130    ||  128p2     31.146713  +310848
  129     ||  129p1  31.268379  +311606    ||  129p2     31.390047  +312324
  130     ||  130p1  31.511713  +313042    ||  130p2     31.633381  +313800
  131     ||  131p1  31.755047  +314518    ||  131p2     31.876715  +315236
  132     ||  132p1  31.998381  +315954    ||  132p2     32.120049  +320712
  133     ||  133p1  32.241714  +321430    ||  133p2     32.363380  +322148
  134     ||  134p1  32.485046  +322906    ||  134p2     32.606712  +323624
  135     ||  135p1  32.728378  +324342    ||  135p2     32.850044  +325100
  136     ||  136p1  32.971710  +325818    ||  136p2     33.093376  +330536
  137     ||  137p1  33.215042  +331254    ||  137p2     33.336708  +332012
  138     ||  138p1  33.458374  +332730    ||  138p2     33.580040  +333448
  139     ||  139p1  33.701706  +334206    ||  139p2     33.823372  +334924
  140     ||  140p1  33.945038  +335642    ||  140p2     34.066704  +340400
  141     ||  141p1  34.188370  +341118    ||  141p2     34.310036  +341836
  142     ||  142p1  34.431702  +342554    ||  142p2     34.553368  +343312
  143     ||  143p1  34.675034  +344030    ||  143p2     34.796700  +344748
  144     ||  144p1  34.918365  +345506    ||  144p2     35.040031  +350224
  145     ||  145p1  35.161697  +350942    ||  145p2     35.283363  +351700
  146     ||  146p1  35.405029  +352418    ||  146p2     35.526695  +353136
  147     ||  147p1  35.648361  +353854    ||  147p2     35.770027  +354612
  148     ||  148p1  35.891693  +355330    ||  148p2     36.013359  +360048
